time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_score_ep_length
5715,2479104,2421,433,0.050438399999999994,-1.239810273051262,-0.005156508821528405,-0.018259085714817047,0.01967147528193891,0.000126096,0.9235984683036804,0.199951171875,0.0013631361,9680,12.13,8727.74,,,,
5716,2480128,2422,433,0.050417920000000005,-1.259988822042942,-0.005223327461862937,-0.018249165266752243,0.015225135663058609,0.00012604480000000002,0.9570902585983276,0.161865234375,0.001266948,9684,12.13,8727.74,,,,
5718,2481152,2423,433,0.050397439999999995,-1.2325854748487473,-0.0047351710381917655,-0.016473306342959404,0.0156222497462295,0.00012599359999999999,0.960280179977417,0.19580078125,0.0013676593,9688,12.13,8727.74,,,,
5719,2482176,2424,434,0.050376960000000005,-1.2552545666694641,-0.006600717664696276,-0.01637433096766472,0.01808349008206278,0.0001259424,0.9553129076957703,0.177490234375,0.0013573464,9692,12.13,8727.74,,,,
5720,2483200,2425,434,0.050356479999999995,-1.195505015552044,-0.006161519006127492,-0.01146567240357399,0.019732457993086427,0.00012589119999999998,0.956781268119812,0.190673828125,0.0011922282,9696,12.13,8727.74,,,,
5721,2484224,2426,434,0.050336000000000006,-1.2559774294495583,-0.003950279322452843,-0.011138999834656715,0.01925127999857068,0.00012584,0.9533224105834961,0.207763671875,0.0014909571,9700,12.13,8727.74,,,,
5722,2485248,2427,434,0.05031552,-1.2386613637208939,-0.003449666197411716,-0.013715498149394989,0.014761188416741788,0.0001257888,0.9668142199516296,0.231201171875,0.0014921497,9704,12.13,8727.74,,,,
5723,2486272,2428,434,0.050295040000000006,-1.2154047265648842,-0.005159861495485529,-0.014423444867134094,0.014213921560440212,0.00012573760000000002,0.9717479348182678,0.16064453125,0.0012044567,9708,12.13,8727.74,,,,
5724,2487296,2429,434,0.05027456,-1.1878296807408333,-0.004586469236528501,-0.017447300255298615,0.012141164566855878,0.00012568640000000002,0.9758826494216919,0.153564453125,0.0012266939,9712,12.13,8723.84,,,,
5725,2488320,2430,434,0.050254080000000007,-1.2332723289728165,-0.006509874772746116,-0.019681105390191078,0.009418242319952697,0.0001256352,0.979929506778717,0.1806640625,0.0015657427,9716,11.98,8770.71,,,,
5726,2489344,2431,434,0.0502336,-1.2725370526313782,-0.006082856561988592,-0.014511235989630222,0.015689663181547076,0.000125584,0.9663603901863098,0.1865234375,0.0015977203,9720,11.99,8765.97,,,,
5727,2490368,2432,434,0.05021312,-1.2016783654689789,-0.004152001871261746,-0.016185089945793152,0.014990999072324485,0.0001255328,0.957809329032898,0.1484375,0.0013569095,9724,11.83,8815.16,,,,
5728,2491392,2433,434,0.050192640000000004,-1.2593798860907555,-0.005845166830113158,-0.014759531244635582,0.011305657913908362,0.0001254816,0.973182737827301,0.193603515625,0.0014611126,9728,11.83,8815.16,,,,
5729,2492416,2434,435,0.05017216,-1.2648227736353874,-0.0063165813335217535,-0.016505293548107147,0.0182638464611955,0.0001254304,0.948586642742157,0.207275390625,0.0019092325,9732,11.83,8815.16,,,,
5730,2493440,2435,435,0.050151680000000004,-1.2310406938195229,-0.005488542665261775,-0.014411279000341892,0.018168324721045792,0.0001253792,0.9634933471679688,0.16064453125,0.0015571952,9736,11.81,8820.94,,,,
5731,2494464,2436,435,0.0501312,-1.2330737262964249,-0.0038273115642368793,-0.014773128554224968,0.01769954670453444,0.000125328,0.9509070515632629,0.18115234375,0.0012931125,9740,11.81,8820.94,,,,
5732,2495488,2437,435,0.05011072,-1.2134969234466553,-0.004811260849237442,-0.0001214388757944107,0.029658023733645678,0.00012527679999999999,0.9245091676712036,0.164794921875,0.0017149086,9744,11.81,8820.94,,,,
5733,2496512,2438,435,0.05009024,-1.286483108997345,-0.004512523824814707,-0.016592497006058693,0.01641363766975701,0.00012522559999999998,0.9563443064689636,0.15771484375,0.0010432713,9748,11.81,8820.94,,,,
5734,2497536,2439,435,0.05006976000000001,-1.2370160147547722,-0.005958082503639162,-0.019422829151153564,0.009433688916033134,0.00012517440000000003,0.9736019968986511,0.17919921875,0.0014527002,9752,11.81,8820.94,,,,
5735,2498560,2440,435,0.05004928,-1.2443521916866302,-0.004246002616127953,-0.01072346605360508,0.024885274353437126,0.0001251232,0.9181840419769287,0.14599609375,0.0014887219,9756,11.7,8868.96,,,,
5736,2499584,2441,435,0.05002880000000001,-1.2535589411854744,-0.005742093460867181,-0.0148133160546422,0.012174579664133489,0.00012507200000000002,0.9761460423469543,0.201416015625,0.0016980626,9760,11.84,8844.67,,,,
,2500000,,,0.050008319999999995,-1.2876260057091713,-0.0052321014809422195,-0.01707318052649498,0.011219069885555655,0.0001250208,0.9547588229179382,0.224853515625,0.0012862695,9764,,,7469.0,-1677.5200001999997,15.8,7469.0
5769,2500608,2442,433,,,,,,,,,,,11.95,8807.42,,,,
