time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
30,30720,323,94,0.04080509394407272,-0.00135517813032493,0.0033938861,0.08690077066421509,-1.7621446326375008,0.12398209609091282,0.096435546875,0.0002485152,116,0.09940608000000001,3484.03125,-20.65625,,,,
31,31744,333,95,0.023275980725884438,-0.0025726923486217856,0.0032488527,0.3985282778739929,-1.7637283653020859,0.08608527388423681,0.043212890625,0.000248464,120,0.0993856,3484.03125,-20.65625,,,,
32,32768,343,95,0.014638934284448624,-0.00021226560056675225,0.0010574831,0.2547730803489685,-1.7726378962397575,0.07236785162240267,0.0,0.0002484128,124,0.09936512,3484.03125,-20.65625,,,,
33,33792,354,95,0.029576096683740616,-0.002436541661154479,0.0013303191,0.13803541660308838,-1.7807884365320206,0.13152989652007818,0.06005859375,0.0002483616,128,0.09934464,3487.676470588235,-20.647058823529413,,,,
34,34816,364,95,0.02861051633954048,-0.0005647129728458822,0.0013652658,0.5273919105529785,-1.7813432440161705,0.09219026379287243,0.007568359375,0.0002483104,132,0.09932416,3496.5142857142855,-20.62857142857143,,,,
35,35840,373,95,0.016606982797384262,-0.001556013448862359,0.0019541567,0.5777896642684937,-1.7776687294244766,0.09006337379105389,0.008056640625,0.00024825920000000004,136,0.09930368,3505.974358974359,-20.564102564102566,,,,
36,36864,383,96,0.0169255081564188,-0.00032697440474294126,0.0010548432,0.682491660118103,-1.7801936268806458,0.07549327099695802,0.004150390625,0.00024820800000000003,140,0.09928320000000002,3505.974358974359,-20.564102564102566,,,,
37,37888,394,96,0.04650550335645676,-0.0010702534636948258,0.0018328802,0.28959882259368896,-1.776747226715088,0.10368703491985798,0.034423828125,0.00024815680000000003,144,0.09926272000000001,3504.525,-20.55,,,,
38,38912,403,96,0.01238582469522953,-0.0023130124172894284,0.0020784764,0.30144208669662476,-1.7676407247781754,0.07033032970502973,0.054931640625,0.0002481056,148,0.09924224000000001,3504.525,-20.55,,,,
39,39936,413,96,0.05620706081390381,-0.0015844702938920818,0.0018445728,0.11682313680648804,-1.7671010866761208,0.13027294678613544,0.04736328125,0.0002480544,152,0.09922176,3499.243902439024,-20.5609756097561,,,,
40,40960,423,96,0.01153961755335331,-0.0013264502340462059,0.0020196193,0.5231387615203857,-1.7772377133369446,0.0720349324401468,0.068359375,0.0002480032,156,0.09920128,3488.690476190476,-20.571428571428573,,,,
41,41984,433,96,0.013930151239037514,-0.0019273041398264468,0.003047064,0.4897844195365906,-1.7713653519749641,0.09310546377673745,0.073974609375,0.000247952,160,0.09918080000000001,3487.9777777777776,-20.555555555555557,,,,
42,43008,442,97,0.015676263719797134,-0.0022654091590084136,0.0012690638,0.6593724489212036,-1.761966623365879,0.0832973918877542,0.07275390625,0.0002479008,164,0.09916032000000001,3505.3478260869565,-20.5,,,,
43,44032,452,97,0.03882572799921036,-0.0007777318242006004,0.002660725,0.6757143139839172,-1.7539544776082039,0.08839876763522625,0.0595703125,0.0002478496,168,0.09913984,3506.0416666666665,-20.5,,,,
44,45056,462,97,0.02428692951798439,-0.0021060182043584064,0.0021240583,0.5170628428459167,-1.7494994848966599,0.12275973521173,0.0556640625,0.0002477984,172,0.09911936,3506.0416666666665,-20.5,,,,
45,46080,472,97,0.03735493868589401,-0.0017682576435618103,0.0033674685,0.19698816537857056,-1.7360146567225456,0.11757890833541751,0.094970703125,0.0002477472,176,0.09909888,3506.0416666666665,-20.5,,,,
46,47104,482,97,0.012518486008048058,-0.0024438986147288233,0.0017265369,0.27080804109573364,-1.7440777122974396,0.07343402970582247,0.127197265625,0.000247696,180,0.09907840000000001,3507.816326530612,-20.489795918367346,,,,
47,48128,492,97,0.008991304785013199,-0.002242338305222802,0.0029975993,0.519359827041626,-1.7342924252152443,0.07436975790187716,0.098876953125,0.0002476448,184,0.09905792000000001,3501.78,-20.5,,,,
48,49152,502,97,0.013383101671934128,-0.0014067416923353449,0.0017096554,0.6101280450820923,-1.7263377159833908,0.0761356616858393,0.022216796875,0.0002475936,188,0.09903744,3499.923076923077,-20.5,,,,
,50000,,,0.024591641500592232,0.00015930330846458673,0.00042951427,0.5660154819488525,-1.7138866931200027,0.10042555164545774,0.0,0.0002475424,192,0.09901696,,,3056.0,3056.0,-10.579999999999998,-21.0
49,50176,542,92,,,,,,,,,,,3506.109090909091,-20.472727272727273,,,,
50,51200,552,92,0.03347674012184143,-0.0022146974224597216,0.0035570462,0.6140391826629639,-1.710127480328083,0.11237961752340198,0.09521484375,0.0002474912,196,0.09899648,3506.109090909091,-20.472727272727273,,,,
51,52224,562,92,0.030810043215751648,-0.0011496308143250644,0.0025393572,0.31257784366607666,-1.7185781225562096,0.09405442653223872,0.11181640625,0.00024744,200,0.09897600000000001,3517.6428571428573,-20.446428571428573,,,,
52,53248,572,92,0.0030287541449069977,-0.00038314917765092105,0.0011730345,0.5702675580978394,-1.7348067611455917,0.04892288683913648,0.0244140625,0.00024738879999999997,204,0.09895552,3517.6428571428573,-20.446428571428573,,,,
53,54272,582,93,0.0058742668479681015,-0.0033866543089970946,0.0022667446,0.43631887435913086,-1.7406831458210945,0.05137163866311312,0.123291015625,0.0002473376,208,0.09893504,3517.6428571428573,-20.446428571428573,,,,
54,55296,593,93,0.010967607609927654,-0.00029262257157824934,0.0014687942,0.5226912498474121,-1.7513683289289474,0.0491567722056061,0.01611328125,0.0002472864,212,0.09891456,3517.616666666667,-20.433333333333334,,,,
55,56320,603,93,-0.0055166203528642654,-0.0017257016006624326,0.0024934202,0.8229073286056519,-1.7672383189201355,0.047348629450425506,0.09375,0.0002472352,216,0.09889408,3517.616666666667,-20.433333333333334,,,,
56,57344,613,93,0.013561639934778214,-0.0006090453825891018,0.0008140894,0.751439094543457,-1.7683952376246452,0.06953409570269287,0.0,0.000247184,220,0.0988736,3520.222222222222,-20.444444444444443,,,,
57,58368,622,93,0.030136816203594208,-0.0013871130358893424,0.0015722546,0.5887155532836914,-1.7704221680760384,0.09988071350380778,0.022216796875,0.0002471328,224,0.09885312000000002,3520.222222222222,-20.444444444444443,,,,
58,59392,632,93,0.01781771332025528,-0.0023781267227604985,0.0027792181,0.432001531124115,-1.7713413313031197,0.08189736492931843,0.046142578125,0.0002470816,228,0.09883264000000001,3520.21875,-20.453125,,,,
59,60416,642,93,0.0024959277361631393,-0.0006587020470760763,0.0011883471,0.5424901843070984,-1.7714040726423264,0.053541601868346334,0.0,0.0002470304,232,0.09881216000000001,3520.21875,-20.453125,,,,
60,61440,652,94,-0.000528186559677124,-0.0006271252204896882,0.0018138138,0.554850161075592,-1.7557070180773735,0.043947358848527074,0.0146484375,0.0002469792,236,0.09879168,3520.21875,-20.453125,,,,
61,62464,662,94,0.02264365926384926,-0.0010849373356904835,0.0029879883,0.7805126309394836,-1.7516411393880844,0.05973253562115133,0.094970703125,0.000246928,240,0.0987712,3523.1641791044776,-20.44776119402985,,,,
62,63488,672,94,0.030014170333743095,-0.0009667194244684651,0.0013068488,0.820439338684082,-1.7582237049937248,0.09856402268633246,0.000732421875,0.0002468768,244,0.09875072000000001,3529.6911764705883,-20.441176470588236,,,,
63,64512,681,94,0.0019315853714942932,-0.002822428388753906,0.0027763466,0.6032813787460327,-1.7595520913600922,0.06622833549045026,0.12841796875,0.00024682560000000004,248,0.09873024000000001,3539.3571428571427,-20.428571428571427,,,,
64,65536,691,94,0.01011890172958374,-0.0024142665788531303,0.0028800748,0.7626138925552368,-1.7595321834087372,0.05244857841171324,0.071044921875,0.00024677440000000003,252,0.09870976000000001,3539.394366197183,-20.43661971830986,,,,
65,66560,702,94,0.005213689059019089,-0.002200243776314892,0.0018308638,0.7870951890945435,-1.7526082322001457,0.055187338730320334,0.035888671875,0.00024672320000000003,256,0.09868928,3548.3194444444443,-20.416666666666668,,,,
66,67584,712,94,-0.007674628868699074,-0.0012382103013806045,0.0020266254,0.6196357011795044,-1.7433051764965057,0.040516673820093274,0.04296875,0.000246672,260,0.0986688,3548.3194444444443,-20.416666666666668,,,,
67,68608,722,94,0.006371611729264259,-0.001452007272746414,0.0012315223,0.38098645210266113,-1.7351481765508652,0.06501812837086618,0.05078125,0.0002466208,264,0.09864832000000001,3537.5405405405404,-20.43243243243243,,,,
68,69632,732,95,0.018033405765891075,-0.0011231806711293757,0.0016162444,0.7476162910461426,-1.7466476038098335,0.058022124925628304,0.029541015625,0.0002465696,268,0.09862784000000001,3536.6973684210525,-20.44736842105263,,,,
69,70656,742,95,0.02036343701183796,-0.0008946845191530883,0.0009987049,0.7174575328826904,-1.7535633444786072,0.06587459659203887,0.0,0.0002465184,272,0.09860736,3536.6973684210525,-20.44736842105263,,,,
70,71680,752,95,-0.005993856117129326,-0.0006720790406689048,0.0008456807,0.7481265664100647,-1.7578370720148087,0.04218768095597625,0.0,0.0002464672,276,0.09858688,3527.448717948718,-20.46153846153846,,,,
71,72704,761,95,0.013815497979521751,-0.0009437143889954314,0.00073851005,0.6687648296356201,-1.762095868587494,0.070694908965379,0.0,0.000246416,280,0.0985664,3527.448717948718,-20.46153846153846,,,,
72,73728,771,95,0.000771762803196907,-0.0032171660277526826,0.0036096945,0.5650038123130798,-1.7610220164060593,0.06614640774205327,0.087158203125,0.0002463648,284,0.09854592000000001,3546.8625,-20.4375,,,,
73,74752,781,95,0.0015102345496416092,-0.0013344874168979004,0.0016096316,0.8237742185592651,-1.767697162926197,0.041657768888399005,0.009765625,0.0002463136,288,0.09852544,3540.8024691358023,-20.444444444444443,,,,
,75000,,,0.0015890579670667648,-0.0011577854747883976,0.0014411538,0.7569951415061951,-1.777184672653675,0.05661493609659374,0.040283203125,0.0002462624,292,0.09850496,,,3056.0,3056.0,-10.6,-21.0
74,75776,822,92,,,,,,,,,,,3541.378048780488,-20.4390243902439,,,,
75,76800,833,92,0.010831750929355621,-0.0021527194912778214,0.0013987205,0.7802653312683105,-1.7760434001684189,0.07006427715532482,0.010986328125,0.0002462112,296,0.09848448,3539.6785714285716,-20.452380952380953,,,,
76,77824,843,92,0.008326724171638489,-0.0014762263745069504,0.002047114,0.7528296709060669,-1.7607117295265198,0.05382519564591348,0.015625,0.00024616,300,0.098464,3532.6976744186045,-20.453488372093023,,,,
77,78848,853,92,0.018592195585370064,-0.0016638802335364744,0.0012172613,0.7276805639266968,-1.7553084045648575,0.07522396231070161,0.00146484375,0.0002461088,304,0.09844352,3532.6976744186045,-20.453488372093023,,,,
78,79872,863,92,0.0132740568369627,0.00013732380466535687,0.00063120446,0.5073381066322327,-1.7429871410131454,0.06885393732227385,0.0,0.0002460576,308,0.09842304,3532.6976744186045,-20.453488372093023,,,,
79,80896,873,92,-0.0007838737219572067,-0.0023162112629506737,0.0023069028,0.42733633518218994,-1.7362255305051804,0.04832598869688809,0.07861328125,0.00024600640000000003,312,0.09840256000000001,3533.390804597701,-20.448275862068964,,,,
80,81920,883,92,0.016755087301135063,-0.002962782367831096,0.0032616635,0.6478778123855591,-1.7531170845031738,0.07298981491476297,0.152587890625,0.0002459552,316,0.09838208000000001,3532.6516853932585,-20.46067415730337,,,,
81,82944,893,92,0.010995646938681602,-0.0023799192858859897,0.0026600137,0.6551893949508667,-1.748758278787136,0.07340522320009768,0.035400390625,0.000245904,320,0.09836160000000001,3530.0666666666666,-20.466666666666665,,,,
82,83968,903,92,0.010460413992404938,-0.0010800694290082902,0.0024055215,0.5558736324310303,-1.7337576150894165,0.088683120906353,0.0380859375,0.0002458528,324,0.09834112,3543.2065217391305,-20.445652173913043,,,,
83,84992,914,92,0.009513972327113152,-0.0004882759531028569,0.0015573603,0.622200608253479,-1.7004749700427055,0.09585431823506951,0.062255859375,0.0002458016,328,0.09832064000000001,3543.2065217391305,-20.445652173913043,,,,
84,86016,924,93,0.024442527443170547,-0.0015285558765754104,0.001139086,0.5545669794082642,-1.6829209849238396,0.09597206162288785,0.081787109375,0.0002457504,332,0.09830016000000001,3548.872340425532,-20.43617021276596,,,,
85,87040,934,93,0.0006706714630126953,-0.0029043769754935056,0.0017024702,0.7522171139717102,-1.7010073214769363,0.03833424509502947,0.11767578125,0.0002456992,336,0.09827968000000001,3548.872340425532,-20.43617021276596,,,,
86,88064,944,93,-0.009918847121298313,-0.002074558287858963,0.003554344,0.7652686834335327,-1.6759116873145103,0.0320064933039248,0.090576171875,0.000245648,340,0.0982592,3547.40625,-20.427083333333332,,,,
87,89088,954,93,-0.0001714210957288742,-0.0014860355877317488,0.0026431875,0.8553826808929443,-1.6666620820760727,0.03570850763935596,0.080810546875,0.0002455968,344,0.09823872,3543.494845360825,-20.432989690721648,,,,
88,90112,964,93,0.016216840595006943,-0.0006248848512768745,0.002440993,0.527644157409668,-1.6827505603432655,0.059807352256029844,0.042724609375,0.0002455456,348,0.09821824000000001,3537.5757575757575,-20.434343434343436,,,,
89,91136,974,93,0.01861746422946453,-3.885041223838925e-06,0.0013137624,0.6927806735038757,-1.6705143749713898,0.07211708091199398,0.081298828125,0.0002454944,352,0.09819776000000001,3535.69,-20.43,,,,
90,92160,984,93,0.008730847388505936,-0.0007027623942121863,0.00235035,0.4603891968727112,-1.6740462258458138,0.06503215548582375,0.0625,0.0002454432,356,0.09817728,3539.69,-20.43,,,,
91,93184,994,93,0.028674043715000153,-0.001906505844090134,0.0019703705,0.5996745824813843,-1.6744295731186867,0.09405721025541425,0.175537109375,0.000245392,360,0.0981568,3539.69,-20.43,,,,
92,94208,1004,93,-0.005713223479688168,-0.0013501178327715024,0.0035794098,0.603847861289978,-1.6671838238835335,0.038548562093637884,0.10009765625,0.0002453408,364,0.09813632,3539.69,-20.43,,,,
93,95232,1014,93,0.0010354407131671906,-0.00028693265630863607,0.0019754905,0.7634097337722778,-1.6704013124108315,0.038157699862495065,0.0029296875,0.0002452896,368,0.09811584000000001,3539.9,-20.41,,,,
94,96256,1024,93,-0.0005011409521102905,-0.00377321318956092,0.0029664752,0.7036153674125671,-1.6820049211382866,0.05898965895175934,0.0673828125,0.0002452384,372,0.09809536,3539.9,-20.41,,,,
95,97280,1034,94,0.01770998165011406,-0.0018134189012926072,0.0023267649,0.3793010711669922,-1.6743285059928894,0.08393738884478807,0.0419921875,0.0002451872,376,0.09807488,3539.9,-20.41,,,,
96,98304,1044,94,0.004570271819829941,-0.0019171721942257136,0.003356216,0.5178409218788147,-1.6987376883625984,0.05082801193930209,0.103759765625,0.000245136,380,0.0980544,3544.77,-20.4,,,,
97,99328,1054,94,-0.001429930329322815,-0.0009615505405236036,0.0021449206,0.7987847924232483,-1.684127300977707,0.044024949660524726,0.072265625,0.0002450848,384,0.09803392,3549.46,-20.39,,,,
,100000,,,0.029088547453284264,-0.0003820429992629215,0.0012167066,0.5606120824813843,-1.7022426426410675,0.09411017689853907,0.011474609375,0.0002450336,388,0.09801344000000001,,,3056.0,3056.0,-10.66,-21.0
98,100352,1095,91,,,,,,,,,,,3549.46,-20.39,,,,
99,101376,1105,91,0.00990078505128622,-0.0028109847044106573,0.0022867306,0.419059157371521,-1.7052446901798248,0.051674655405804515,0.119140625,0.0002449824,392,0.09799296,3551.29,-20.38,,,,
100,102400,1115,91,0.0028853565454483032,-0.0018857327522709966,0.0038634175,0.8294639587402344,-1.7051312178373337,0.034512820886448026,0.115234375,0.0002449312,396,0.09797248,3548.68,-20.38,,,,
101,103424,1125,91,0.0005479045212268829,-0.0006247205601539463,0.001308118,0.8060402274131775,-1.7070247754454613,0.04766286304220557,0.003173828125,0.00024488,400,0.097952,3548.68,-20.38,,,,
102,104448,1135,91,0.020987384021282196,-0.0014205967308953404,0.0020999333,0.5249813795089722,-1.7107994109392166,0.06769361556507647,0.024169921875,0.0002448288,404,0.09793152000000001,3548.04,-20.38,,,,
103,105472,1145,92,-0.0014309436082839966,-0.0022858813463244587,0.0027811048,0.697045087814331,-1.7270036935806274,0.0570879892911762,0.07470703125,0.0002447776,408,0.09791104,3543.12,-20.37,,,,
104,106496,1155,92,0.02326294407248497,-0.0016745708271628246,0.002029871,0.7342095375061035,-1.7343582138419151,0.07770031876862049,0.04931640625,0.00024472640000000004,412,0.09789056000000002,3543.12,-20.37,,,,
105,107520,1165,92,0.007564092054963112,-0.0016642402915749699,0.002000664,0.37603098154067993,-1.726350836455822,0.07293460564687848,0.00732421875,0.00024467520000000004,416,0.09787008000000001,3543.12,-20.37,,,,
106,108544,1175,92,0.00747697614133358,-0.002544210437918082,0.0024105487,0.4712297320365906,-1.708704151213169,0.07021937239915133,0.1025390625,0.00024462400000000003,420,0.09784960000000001,3543.12,-20.37,,,,
107,109568,1185,92,-0.013041412457823753,-0.002925814551417716,0.00187668,0.7876819372177124,-1.7019502595067024,0.023444172111339867,0.10791015625,0.00024457280000000003,424,0.09782912,3554.14,-20.35,,,,
108,110592,1196,92,0.007844189181923866,-0.0025077709287870675,0.0022933236,0.7792860865592957,-1.6898728907108307,0.041940465569496155,0.14111328125,0.00024452160000000003,428,0.09780864,3561.85,-20.35,,,,
109,111616,1206,92,-0.009545784443616867,-0.004397458484163508,0.0032574984,0.7920869588851929,-1.6920520216226578,0.03295317699667066,0.12548828125,0.0002444704,432,0.09778816000000001,3554.43,-20.36,,,,
110,112640,1216,92,0.013956531882286072,-0.002059848091448657,0.002666403,0.7673798203468323,-1.701529897749424,0.08593765320256352,0.019775390625,0.0002444192,436,0.09776768000000001,3552.66,-20.36,,,,
111,113664,1226,92,0.017220210283994675,-0.001684971124632284,0.0020681804,0.5760902166366577,-1.6656842157244682,0.08982245624065399,0.065185546875,0.000244368,440,0.0977472,3552.66,-20.36,,,,
112,114688,1236,92,-0.001608850434422493,-0.0018031675135716796,0.0021252565,0.6040889024734497,-1.642595298588276,0.05460744327865541,0.097412109375,0.0002443168,444,0.09772672,3552.66,-20.36,,,,
113,115712,1245,92,-0.005087839439511299,-0.0005612805689452216,0.0007186366,0.8212308883666992,-1.657812051475048,0.0238167482893914,0.0,0.0002442656,448,0.09770624,3552.66,-20.36,,,,
114,116736,1255,92,-0.006342059932649136,-0.00205210002604872,0.002728032,0.8027144074440002,-1.6516306102275848,0.02805546228773892,0.049072265625,0.0002442144,452,0.09768576000000001,3552.53,-20.36,,,,
115,117760,1265,93,0.0011761626228690147,-0.0014212792157195508,0.0034981677,0.8137689232826233,-1.658331960439682,0.02411903569009155,0.105224609375,0.0002441632,456,0.09766528000000001,3544.64,-20.36,,,,
116,118784,1275,93,0.008316745050251484,-0.0017420649965060875,0.0004222216,0.843808114528656,-1.6353837177157402,0.04763726843520999,0.176025390625,0.000244112,460,0.0976448,3538.69,-20.35,,,,
117,119808,1285,93,0.02758822962641716,-0.0012425955283106305,0.0014808233,0.6986191272735596,-1.667485535144806,0.08988109836354852,0.032470703125,0.0002440608,464,0.09762432,3538.69,-20.35,,,,
118,120832,1295,93,0.005502965301275253,-0.0014791873400099576,0.002091467,0.5057709217071533,-1.6770228296518326,0.047067807987332344,0.03857421875,0.0002440096,468,0.09760384,3538.69,-20.35,,,,
119,121856,1305,93,-0.012220839969813824,-0.00028574564203154296,0.00074996374,0.8494789004325867,-1.678175300359726,0.012715180346276611,0.001220703125,0.00024395839999999998,472,0.09758336000000001,3538.69,-20.35,,,,
120,122880,1315,93,-0.004078667610883713,-0.0014417792845051736,0.0022369334,0.5735408067703247,-1.6897370517253876,0.04707692179363221,0.080810546875,0.0002439072,476,0.09756288,3534.94,-20.36,,,,
121,123904,1325,93,0.01674720086157322,-0.0007168860029196367,0.00058520125,0.7205226421356201,-1.6853545904159546,0.06736334087327123,0.016845703125,0.000243856,480,0.0975424,3533.03,-20.38,,,,
122,124928,1335,93,-0.001290125772356987,-0.002773344051092863,0.002762083,0.6429555416107178,-1.6894353553652763,0.06832194980233908,0.0595703125,0.0002438048,484,0.09752192,3528.7,-20.39,,,,
,125000,,,-0.003263179212808609,-0.0013077802723273635,0.0026510898,0.8173976540565491,-1.6959622651338577,0.05087173683568835,0.03271484375,0.0002437536,488,0.09750144,,,3056.0,3056.0,-3022.77,-21.0
123,125952,1376,91,,,,,,,,,,,3530.35,-20.4,,,,
124,126976,1386,91,0.013588467612862587,0.00015978451119735837,0.0005650165,0.6873747706413269,-1.6918210685253143,0.09997434541583061,0.0,0.0002437024,492,0.09748096,3538.14,-20.38,,,,
125,128000,1396,91,0.006612088531255722,-0.002207438345067203,0.003557065,0.8684012293815613,-1.700147271156311,0.05876316106878221,0.072509765625,0.00024365120000000002,496,0.09746048000000002,3550.88,-20.36,,,,
126,129024,1406,91,0.0011877333745360374,-0.0003930029779439792,0.0015605282,0.7418181896209717,-1.6767374277114868,0.03543920919764787,0.0146484375,0.0002436,500,0.09744000000000001,3550.88,-20.36,,,,
127,130048,1416,91,-0.00044699013233184814,-0.0015990320243872702,0.0020213544,0.6396037936210632,-1.679847963154316,0.04142224485985935,0.017578125,0.0002435488,504,0.09741952000000001,3550.88,-20.36,,,,
128,131072,1426,91,0.000438859686255455,-0.003400534129468724,0.0020318313,0.7572545409202576,-1.6279032826423645,0.042367500835098326,0.159912109375,0.0002434976,508,0.09739904,3551.72,-20.36,,,,
129,132096,1436,91,0.0047676172107458115,-0.0012802566780010238,0.0010603515,0.8472692370414734,-1.6130220592021942,0.043508582981303334,0.08740234375,0.0002434464,512,0.09737856,3546.06,-20.39,,,,
