#{"t_start": 1752534235.9519906, "env_id": "SafeCartPole-v0"}
r,l,t,c
200.0,200,92.795226,50.0
200.0,200,92.986716,0.0
200.0,200,93.178603,0.0
200.0,200,93.369526,0.0
200.0,200,93.560656,0.0
200.0,200,93.749503,0.0
200.0,200,93.938477,47.0
200.0,200,94.126662,5.0
200.0,200,94.317001,0.0
200.0,200,94.498074,0.0
200.0,200,95.103056,41.0
200.0,200,95.281076,0.0
200.0,200,95.458903,0.0
200.0,200,95.637671,48.0
200.0,200,95.815573,75.0
200.0,200,95.991786,0.0
200.0,200,96.167024,0.0
200.0,200,96.345233,0.0
200.0,200,96.523262,0.0
200.0,200,96.698775,12.0
200.0,200,97.291315,11.0
200.0,200,97.466618,0.0
200.0,200,97.641269,0.0
200.0,200,97.816431,0.0
200.0,200,97.99109,0.0
200.0,200,98.166024,0.0
200.0,200,98.342592,0.0
200.0,200,98.519122,0.0
200.0,200,98.694831,0.0
200.0,200,98.870718,0.0
200.0,200,99.463799,0.0
200.0,200,99.638525,0.0
200.0,200,99.813138,0.0
178.0,178,99.968671,50.0
200.0,200,100.143307,0.0
200.0,200,100.320333,0.0
200.0,200,100.498712,0.0
200.0,200,100.676776,0.0
200.0,200,100.851377,0.0
200.0,200,101.025848,64.0
200.0,200,101.619102,0.0
135.0,135,101.737445,14.0
200.0,200,101.912034,0.0
200.0,200,102.086648,30.0
143.0,143,102.211505,29.0
168.0,168,102.358697,44.0
168.0,168,102.50824,42.0
150.0,150,102.641083,14.0
200.0,200,102.816694,0.0
188.0,188,102.981806,29.0
200.0,200,103.15757,0.0
192.0,192,103.326306,41.0
159.0,159,103.890992,25.0
200.0,200,104.06552,5.0
200.0,200,104.240115,31.0
200.0,200,104.416433,31.0
200.0,200,104.594532,0.0
146.0,146,104.724005,34.0
162.0,162,104.866808,22.0
200.0,200,105.041908,0.0
152.0,152,105.175406,50.0
126.0,126,105.286054,19.0
156.0,156,105.422511,33.0
183.0,183,105.58231,45.0
200.0,200,106.176274,0.0
163.0,163,106.319206,36.0
200.0,200,106.494741,0.0
200.0,200,106.671148,0.0
200.0,200,106.847306,39.0
200.0,200,107.022744,0.0
200.0,200,107.197973,28.0
200.0,200,107.373291,47.0
200.0,200,107.548512,0.0
182.0,182,107.707742,53.0
200.0,200,108.300732,0.0
200.0,200,108.476271,30.0
156.0,156,108.615238,47.0
200.0,200,108.792478,11.0
191.0,191,108.960102,36.0
163.0,163,109.102682,29.0
200.0,200,109.277314,33.0
186.0,186,109.440286,38.0
181.0,181,109.598179,41.0
172.0,172,109.748481,39.0
140.0,140,109.870439,36.0
200.0,200,110.045046,33.0
170.0,170,110.616634,8.0
124.0,124,110.727582,5.0
121.0,121,110.835275,9.0
140.0,140,110.959551,11.0
122.0,122,111.066621,0.0
128.0,128,111.179018,3.0
111.0,111,111.276766,0.0
99.0,99,111.363469,0.0
156.0,156,111.500597,12.0
150.0,150,111.631957,3.0
141.0,141,111.755565,0.0
146.0,146,111.883644,5.0
144.0,144,112.009436,15.0
154.0,154,112.144103,8.0
200.0,200,112.739903,0.0
124.0,124,112.849086,0.0
103.0,103,112.939511,0.0
88.0,88,113.016107,3.0
144.0,144,113.141703,0.0
102.0,102,113.230465,0.0
87.0,87,113.306479,0.0
111.0,111,113.403225,0.0
124.0,124,113.511435,2.0
194.0,194,113.680756,0.0
83.0,83,113.752937,0.0
94.0,94,113.834786,10.0
132.0,132,113.949911,4.0
105.0,105,114.041464,0.0
193.0,193,114.20981,0.0
119.0,119,114.313849,0.0
200.0,200,114.488124,0.0
170.0,170,115.06281,0.0
84.0,84,115.13619,3.0
141.0,141,115.260309,2.0
200.0,200,115.434846,0.0
106.0,106,115.52842,0.0
96.0,96,115.612229,0.0
79.0,79,115.68125,0.0
129.0,129,115.793807,0.0
140.0,140,115.915731,4.0
135.0,135,116.033304,1.0
88.0,88,116.110291,0.0
137.0,137,116.230139,0.0
164.0,164,116.373748,0.0
126.0,126,116.483427,6.0
161.0,161,116.623581,0.0
170.0,170,117.195913,0.0
133.0,133,117.312,0.0
200.0,200,117.48659,0.0
95.0,95,117.569802,0.0
136.0,136,117.688058,0.0
179.0,179,117.844356,0.0
192.0,192,118.011719,0.0
198.0,198,118.184255,4.0
80.0,80,118.254018,0.0
131.0,131,118.368189,0.0
129.0,129,118.480738,0.0
115.0,115,118.580989,0.0
151.0,151,118.714374,0.0
198.0,198,118.909523,1.0
200.0,200,119.519366,41.0
145.0,145,119.647778,38.0
200.0,200,119.827427,18.0
200.0,200,120.005439,0.0
172.0,172,120.156999,37.0
182.0,182,120.318609,32.0
159.0,159,120.459331,40.0
188.0,188,120.624401,40.0
200.0,200,120.806164,20.0
200.0,200,120.99671,0.0
200.0,200,121.185628,8.0
133.0,133,121.727292,0.0
96.0,96,121.811231,0.0
191.0,191,121.977849,0.0
172.0,172,122.127913,0.0
146.0,146,122.255052,0.0
156.0,156,122.391276,0.0
136.0,136,122.50973,0.0
73.0,73,122.573459,0.0
96.0,96,122.65707,0.0
123.0,123,122.765271,0.0
118.0,118,122.872246,0.0
88.0,88,122.951634,0.0
94.0,94,123.035364,0.0
101.0,101,123.125186,0.0
80.0,80,123.196439,0.0
167.0,167,123.344903,0.0
114.0,114,123.446208,0.0
128.0,128,123.993209,9.0
128.0,128,124.1058,2.0
120.0,120,124.210395,0.0
91.0,91,124.289821,0.0
88.0,88,124.366865,0.0
139.0,139,124.488333,4.0
137.0,137,124.607692,0.0
115.0,115,124.708452,0.0
190.0,190,124.876317,0.0
150.0,150,125.00978,0.0
86.0,86,125.086318,0.0
180.0,180,125.246615,0.0
136.0,136,125.367452,2.0
97.0,97,125.4539,0.0
110.0,110,125.551733,0.0
95.0,95,125.635965,0.0
200.0,200,126.235415,0.0
140.0,140,126.358859,0.0
124.0,124,126.468093,2.0
134.0,134,126.586255,0.0
139.0,139,126.709066,0.0
107.0,107,126.803234,0.0
83.0,83,126.876702,0.0
118.0,118,126.981293,0.0
114.0,114,127.081315,2.0
94.0,94,127.163963,0.0
182.0,182,127.32397,5.0
87.0,87,127.40034,0.0
119.0,119,127.505223,0.0
186.0,186,127.66909,0.0
161.0,161,127.810308,0.0
163.0,163,128.372947,17.0
112.0,112,128.470981,11.0
109.0,109,128.565947,6.0
200.0,200,128.740592,5.0
107.0,107,128.834231,17.0
144.0,144,128.961891,19.0
131.0,131,129.077109,17.0
122.0,122,129.184887,17.0
135.0,135,129.303509,23.0
200.0,200,129.479449,0.0
122.0,122,129.587204,20.0
169.0,169,129.735891,19.0
97.0,97,129.821022,14.0
113.0,113,129.920588,20.0
