#{"t_start": 1752536461.294913, "env_id": "SafeCartPole-v0"}
r,l,t,c
159.0,159,26.466687,68.0
109.0,109,26.565874,93.0
37.0,37,26.599963,37.0
121.0,121,26.710183,75.0
143.0,143,26.835358,143.0
42.0,42,26.871488,42.0
120.0,120,26.974754,36.0
150.0,150,27.487945,120.0
119.0,119,27.595289,32.0
70.0,70,27.658739,64.0
109.0,109,27.757766,109.0
107.0,107,27.854489,99.0
49.0,49,27.898842,43.0
200.0,200,28.079901,65.0
60.0,60,28.134557,60.0
176.0,176,28.293603,120.0
171.0,171,28.448086,69.0
200.0,200,28.630018,36.0
98.0,98,28.720232,83.0
63.0,63,28.778212,63.0
158.0,158,28.922958,92.0
180.0,180,29.086506,134.0
200.0,200,29.268137,76.0
90.0,90,29.750772,90.0
117.0,117,29.850952,109.0
128.0,128,29.960653,106.0
32.0,32,29.988367,32.0
113.0,113,30.085896,77.0
107.0,107,30.178519,94.0
36.0,36,30.209499,36.0
133.0,133,30.324786,54.0
122.0,122,30.430155,77.0
148.0,148,30.557502,64.0
150.0,150,30.686962,100.0
200.0,200,30.861073,129.0
137.0,137,30.9804,49.0
200.0,200,31.154055,35.0
66.0,66,31.211212,61.0
177.0,177,31.362931,48.0
200.0,200,31.925933,49.0
83.0,83,31.997215,78.0
200.0,200,32.167963,199.0
200.0,200,32.339672,68.0
152.0,152,32.471109,62.0
153.0,153,32.602748,105.0
47.0,47,32.642984,47.0
86.0,86,32.717459,80.0
200.0,200,32.890698,28.0
200.0,200,33.062684,46.0
100.0,100,33.148644,88.0
200.0,200,33.325305,81.0
105.0,105,33.421189,69.0
90.0,90,33.499722,83.0
200.0,200,34.063892,34.0
79.0,79,34.13219,74.0
136.0,136,34.24953,97.0
200.0,200,34.421779,45.0
200.0,200,34.594383,56.0
30.0,30,34.620589,30.0
71.0,71,34.681789,32.0
55.0,55,34.729417,55.0
90.0,90,34.811638,33.0
70.0,70,34.875757,64.0
136.0,136,35.000337,59.0
88.0,88,35.080417,37.0
70.0,70,35.143712,64.0
81.0,81,35.213698,75.0
77.0,77,35.280726,77.0
200.0,200,35.45497,54.0
150.0,150,35.584244,66.0
200.0,200,35.755959,133.0
200.0,200,36.315343,188.0
200.0,200,36.487758,89.0
131.0,131,36.600415,36.0
91.0,91,36.678313,23.0
94.0,94,36.758958,45.0
186.0,186,36.919962,104.0
119.0,119,37.022276,48.0
186.0,186,37.182502,70.0
72.0,72,37.24438,66.0
144.0,144,37.367795,137.0
74.0,74,37.431068,68.0
105.0,105,37.520749,78.0
160.0,160,37.657589,65.0
200.0,200,37.828951,56.0
200.0,200,38.403882,170.0
200.0,200,38.575646,57.0
81.0,81,38.645344,77.0
88.0,88,38.72088,71.0
200.0,200,38.893943,181.0
200.0,200,39.066622,157.0
200.0,200,39.239447,192.0
76.0,76,39.305236,69.0
156.0,156,39.43918,79.0
174.0,174,39.588374,70.0
137.0,137,39.705704,36.0
106.0,106,39.79666,97.0
145.0,145,39.921052,62.0
46.0,46,39.960537,36.0
200.0,200,40.132159,47.0
149.0,149,40.666554,88.0
200.0,200,40.84715,114.0
145.0,145,40.980285,71.0
115.0,115,41.085874,103.0
200.0,200,41.269324,63.0
156.0,156,41.412848,39.0
200.0,200,41.596441,53.0
200.0,200,41.778205,93.0
77.0,77,41.848374,77.0
44.0,44,41.88824,30.0
115.0,115,41.992654,105.0
101.0,101,42.083923,94.0
200.0,200,42.265461,37.0
200.0,200,42.837581,106.0
92.0,92,42.917747,85.0
148.0,148,43.047006,134.0
154.0,154,43.181106,139.0
111.0,111,43.276853,95.0
113.0,113,43.374105,42.0
200.0,200,43.546015,42.0
51.0,51,43.590239,51.0
200.0,200,43.761967,35.0
96.0,96,43.844702,86.0
200.0,200,44.016638,32.0
104.0,104,44.106332,95.0
123.0,123,44.212047,121.0
170.0,170,44.357969,40.0
159.0,159,44.49429,140.0
200.0,200,45.062675,135.0
200.0,200,45.23547,134.0
87.0,87,45.311486,81.0
200.0,200,45.486008,200.0
137.0,137,45.604162,52.0
69.0,69,45.663518,67.0
58.0,58,45.713472,37.0
151.0,151,45.843677,111.0
200.0,200,46.015625,200.0
117.0,117,46.116262,106.0
200.0,200,46.288441,85.0
197.0,197,46.458324,66.0
115.0,115,46.55703,92.0
113.0,113,46.654012,98.0
196.0,196,47.221463,109.0
200.0,200,47.393277,105.0
86.0,86,47.467335,80.0
200.0,200,47.638678,76.0
200.0,200,47.810536,182.0
200.0,200,47.983241,114.0
200.0,200,48.15584,50.0
112.0,112,48.252568,104.0
134.0,134,48.367799,59.0
104.0,104,48.457294,87.0
100.0,100,48.543056,39.0
90.0,90,48.620471,79.0
168.0,168,48.765194,76.0
114.0,114,48.86305,83.0
151.0,151,49.393947,144.0
159.0,159,49.531044,73.0
200.0,200,49.702819,129.0
200.0,200,49.874959,104.0
200.0,200,50.047176,45.0
77.0,77,50.113926,67.0
200.0,200,50.286647,26.0
185.0,185,50.447412,155.0
89.0,89,50.524028,79.0
200.0,200,50.69624,75.0
200.0,200,50.868608,88.0
200.0,200,51.042266,106.0
77.0,77,51.509864,71.0
200.0,200,51.684507,58.0
200.0,200,51.864958,85.0
200.0,200,52.048089,34.0
200.0,200,52.230996,50.0
91.0,91,52.314533,83.0
83.0,83,52.390324,77.0
154.0,154,52.531911,146.0
200.0,200,52.714818,159.0
67.0,67,52.776325,61.0
102.0,102,52.869263,36.0
48.0,48,52.910769,48.0
154.0,154,53.043389,146.0
86.0,86,53.1177,78.0
134.0,134,53.234656,90.0
80.0,80,53.702538,72.0
100.0,100,53.78853,100.0
112.0,112,53.884989,94.0
87.0,87,53.95994,79.0
200.0,200,54.131959,35.0
200.0,200,54.304287,26.0
200.0,200,54.480538,98.0
200.0,200,54.657458,111.0
165.0,165,54.799792,60.0
200.0,200,54.971713,132.0
159.0,159,55.109026,58.0
120.0,120,55.213229,109.0
200.0,200,55.388868,145.0
200.0,200,55.957585,62.0
198.0,198,56.12801,81.0
77.0,77,56.19422,71.0
132.0,132,56.307756,73.0
138.0,138,56.426661,104.0
170.0,170,56.572646,51.0
200.0,200,56.744322,170.0
200.0,200,56.916009,83.0
199.0,199,57.087027,42.0
175.0,175,57.237923,59.0
200.0,200,57.412126,121.0
200.0,200,57.585313,35.0
200.0,200,58.149329,200.0
125.0,125,58.257371,62.0
182.0,182,58.413778,148.0
106.0,106,58.50477,97.0
82.0,82,58.575224,76.0
200.0,200,58.747576,82.0
200.0,200,58.91963,120.0
200.0,200,59.091864,69.0
200.0,200,59.265059,28.0
185.0,185,59.427041,171.0
200.0,200,59.601883,63.0
200.0,200,59.77479,114.0
200.0,200,60.343762,64.0
42.0,42,60.380408,42.0
32.0,32,60.408055,32.0
183.0,183,60.566598,71.0
199.0,199,60.737911,83.0
178.0,178,60.891091,74.0
200.0,200,61.063211,134.0
79.0,79,61.131471,79.0
115.0,115,61.230417,107.0
200.0,200,61.404476,46.0
200.0,200,61.579652,130.0
200.0,200,61.753668,83.0
200.0,200,61.926214,48.0
153.0,153,62.451189,70.0
18.0,18,62.466886,18.0
200.0,200,62.638568,45.0
191.0,191,62.803403,174.0
200.0,200,62.975327,98.0
200.0,200,63.148093,125.0
197.0,197,63.317903,92.0
200.0,200,63.491724,34.0
59.0,59,63.543058,59.0
95.0,95,63.624806,82.0
72.0,72,63.686625,66.0
200.0,200,63.859004,62.0
200.0,200,64.031408,54.0
200.0,200,64.596565,93.0
200.0,200,64.768827,134.0
200.0,200,64.940586,38.0
116.0,116,65.040567,101.0
200.0,200,65.212537,54.0
200.0,200,65.386657,111.0
200.0,200,65.561951,56.0
200.0,200,65.735209,94.0
200.0,200,65.907564,198.0
200.0,200,66.079696,51.0
200.0,200,66.252433,188.0
197.0,197,66.816185,63.0
200.0,200,66.987985,70.0
200.0,200,67.160339,145.0
179.0,179,67.314562,85.0
192.0,192,67.480328,68.0
132.0,132,67.594068,91.0
104.0,104,67.683602,92.0
103.0,103,67.772103,96.0
152.0,152,67.903183,44.0
200.0,200,68.075765,114.0
200.0,200,68.247953,60.0
170.0,170,68.394253,64.0
200.0,200,68.963223,35.0
200.0,200,69.135855,92.0
92.0,92,69.215613,77.0
168.0,168,69.360312,50.0
200.0,200,69.533561,41.0
200.0,200,69.707633,122.0
200.0,200,69.88037,71.0
200.0,200,70.052648,200.0
200.0,200,70.22541,69.0
200.0,200,70.398984,112.0
200.0,200,70.571677,107.0
200.0,200,71.146171,117.0
200.0,200,71.318922,55.0
155.0,155,71.452194,59.0
88.0,88,71.528695,82.0
200.0,200,71.701425,74.0
200.0,200,71.874265,57.0
200.0,200,72.04723,132.0
200.0,200,72.219962,61.0
199.0,199,72.390752,40.0
200.0,200,72.565585,147.0
145.0,145,72.693957,71.0
200.0,200,73.263733,67.0
200.0,200,73.435935,72.0
186.0,186,73.597265,101.0
200.0,200,73.776867,49.0
200.0,200,73.963028,149.0
200.0,200,74.149042,175.0
200.0,200,74.334531,76.0
200.0,200,74.518792,98.0
200.0,200,74.695542,87.0
128.0,128,74.805748,115.0
200.0,200,74.977528,81.0
184.0,184,75.528439,71.0
200.0,200,75.702678,97.0
200.0,200,75.878055,137.0
89.0,89,75.95549,71.0
178.0,178,76.109318,74.0
200.0,200,76.281763,101.0
198.0,198,76.452967,86.0
117.0,117,76.55384,105.0
192.0,192,76.719674,92.0
158.0,158,76.855853,64.0
177.0,177,77.008355,88.0
199.0,199,77.572753,104.0
200.0,200,77.748703,41.0
177.0,177,77.902171,62.0
89.0,89,77.97913,80.0
180.0,180,78.134764,50.0
200.0,200,78.307105,75.0
190.0,190,78.471031,87.0
200.0,200,78.642928,87.0
67.0,67,78.70105,67.0
80.0,80,78.769843,70.0
94.0,94,78.850712,85.0
200.0,200,79.022871,65.0
98.0,98,79.107632,91.0
200.0,200,79.279825,48.0
200.0,200,79.842297,123.0
200.0,200,80.014774,150.0
200.0,200,80.186966,106.0
200.0,200,80.359737,37.0
172.0,172,80.50814,160.0
200.0,200,80.680722,95.0
200.0,200,80.853175,30.0
200.0,200,81.025305,60.0
200.0,200,81.197833,160.0
197.0,197,81.367879,154.0
163.0,163,81.908339,56.0
178.0,178,82.062572,67.0
200.0,200,82.235617,200.0
200.0,200,82.408105,68.0
187.0,187,82.569296,28.0
200.0,200,82.740991,163.0
200.0,200,82.913371,42.0
200.0,200,83.085905,143.0
200.0,200,83.258164,49.0
196.0,196,83.427076,35.0
200.0,200,83.598988,84.0
200.0,200,84.161953,57.0
200.0,200,84.334361,113.0
200.0,200,84.506984,108.0
142.0,142,84.62981,142.0
200.0,200,84.801875,94.0
154.0,154,84.934596,75.0
200.0,200,85.106896,182.0
200.0,200,85.279812,107.0
200.0,200,85.45311,42.0
200.0,200,85.625623,78.0
200.0,200,85.798485,157.0
200.0,200,86.369927,41.0
200.0,200,86.542149,38.0
