time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
2646016,605,4369,2584,0.00014136789923213655,0.0001177504,6.991421e-05,10332,0.0,-0.01611296832561493,0.9954769611358643,0.04710016,-1.603966198861599,-0.00010391935938969254,3345.38,-1.17033348,,,,
2647040,605,4370,2585,8.772787850830355e-05,0.0001176992,0.000108254026,10336,0.00048828125,-0.016641464084386826,0.9961885809898376,0.047079680000000006,-1.6207432076334953,-0.00035187494358979166,3345.38,-1.17033348,,,,
2648064,605,4371,2586,5.52898857222317e-05,0.00011764800000000001,0.00017672154,10340,0.0,-0.016742043197155,-0.0731278657913208,0.0470592,-1.6321110278367996,-0.0003942558541893959,3346.05,-1.17100015,,,,
2649088,605,4373,2587,8.452266365566174e-05,0.0001175968,0.0001481148,10344,0.0,-0.016684208065271378,0.9932584166526794,0.047038720000000006,-1.6250586435198784,-0.0003839973360300064,3347.37,-1.1703334799999998,,,,
2650000,,,,5.131549153247761e-05,0.0001175456,3.275287e-05,10348,0.0,-0.016188519075512886,0.9947046637535095,0.04701824,-1.62129744887352,-1.5555648133158684e-05,,,-21.0,3056.0,-2.4866668000000005,3056.0
2650112,604,4386,2588,,,,,,,,,,,3347.37,-1.1703334799999998,,,,
2651136,604,4387,2589,0.12314583174884319,0.0001174944,0.00039097277,10352,0.030517578125,0.040390707552433014,9.60230827331543e-05,0.04699776,-1.6189674213528633,-0.0010702988365665078,3345.34,-1.1863334799999998,,,,
2652160,604,4388,2590,0.00066068880551029,0.0001174432,0.0002156801,10356,0.020263671875,-0.01798693835735321,0.9902991652488708,0.04697728,-1.5800474435091019,-0.00042683572974056005,3348.38,-1.18700015,,,,
2653184,604,4390,2591,9.535207891531172e-05,0.000117392,0.00026034756,10360,0.0166015625,-0.017998315393924713,0.9888563752174377,0.0469568,-1.589475393295288,-0.0006619430496357381,3348.38,-1.18700015,,,,
2654208,604,4391,2592,4.214811451674905e-05,0.0001173408,8.504267e-05,10364,0.0,-0.015431784093379974,0.03284609317779541,0.046936320000000004,-1.581778421998024,-0.00011154270032420754,3348.38,-1.18700015,,,,
