time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_object_ep_length
69,19926,1378304,1346,0.002094701,0.07245440000000002,0.9773964881896973,0.132568359375,5380,-1.3238205015659332,0.008787009894149378,-0.006467952247476205,0.00018113600000000004,-0.02748827636241913,3.19,11738.85,,,,
69,19936,1379328,1347,0.0025199498,0.07243392,0.934841513633728,0.106201171875,5384,-1.3630386292934418,0.022018869232852012,-0.005974226354737766,0.0001810848,-0.014646733179688454,3.19,11738.85,,,,
69,19947,1380352,1348,0.0025438885,0.07241344000000001,0.9712352156639099,0.17919921875,5388,-1.3154440969228745,0.011748193006496876,-0.007292180991498753,0.00018103360000000003,-0.023898715153336525,3.19,11738.85,,,,
69,19958,1381376,1349,0.00450183,0.07239295999999999,0.9760899543762207,0.229736328125,5392,-1.3538079336285591,0.009149067685939372,-0.007071991392876953,0.0001809824,-0.023111023008823395,3.19,11738.85,,,,
69,19969,1382400,1350,0.002390013,0.07237248,0.9589604735374451,0.1953125,5396,-1.3716050311923027,0.0150864805909805,-0.0047073098830878735,0.00018093120000000002,-0.018913332372903824,3.04,11808.59,,,,
69,19980,1383424,1351,0.0027839674,0.072352,0.9350999593734741,0.154296875,5400,-1.2994840517640114,0.013799570908304304,-0.005237263074377552,0.00018088,-0.019510943442583084,3.13,11876.3,,,,
69,19991,1384448,1352,0.0022893718,0.07233152000000001,0.9425105452537537,0.185546875,5404,-1.3416482880711555,0.011646274972008541,-0.005891954569960944,0.0001808288,-0.024403445422649384,3.13,11876.3,,,,
69,20001,1385472,1353,0.0031051394,0.07231104,0.8552001118659973,0.19970703125,5408,-1.3702978193759918,0.0233749597100541,-0.008061101616476662,0.00018077759999999998,-0.025195013731718063,3.13,11876.3,,,,
69,20012,1386496,1354,0.0031366213,0.07229056,0.8358011245727539,0.19384765625,5412,-1.306355096399784,0.032634821720421314,-0.0070041817089077085,0.0001807264,-0.014037758111953735,3.13,11876.3,,,,
69,20023,1387520,1355,0.002504254,0.07227008,0.7958776950836182,0.219970703125,5416,-1.358526587486267,0.03325285227037966,-0.005687653843779117,0.00018067519999999997,-0.012714434415102005,3.2,11839.31,,,,
69,20034,1388544,1356,0.0029148487,0.07224960000000001,0.8569899797439575,0.231201171875,5420,-1.3578156009316444,0.021478423848748207,-0.006705237727146596,0.000180624,-0.021314509212970734,3.2,11839.31,,,,
69,20045,1389568,1357,0.0027165425,0.07222912000000001,0.8885253071784973,0.169921875,5424,-1.319494403898716,0.018603476812131703,-0.00712089950684458,0.00018057280000000002,-0.020850468426942825,3.26,11814.29,,,,
69,20055,1390592,1358,0.0023714863,0.07220864,0.9040823578834534,0.15478515625,5428,-1.3735236525535583,0.02513389301020652,-0.006689894740702584,0.00018052160000000002,-0.016712546348571777,3.26,11814.29,,,,
69,20066,1391616,1359,0.0023728267,0.07218816,0.8271045684814453,0.213134765625,5432,-1.3319743499159813,0.04024307546205819,-0.008404286316363141,0.0001804704,-0.008552838116884232,3.89,11749.57,,,,
69,20076,1392640,1360,0.002737922,0.07216768,0.8060102462768555,0.13671875,5436,-1.3448660224676132,0.025541797280311584,-0.005217721045482904,0.0001804192,-0.01774882897734642,3.89,11749.57,,,,
69,20087,1393664,1361,0.002938591,0.07214720000000001,0.8165796995162964,0.210205078125,5440,-1.3547664359211922,0.03643512481357902,-0.006241558003239334,0.000180368,-0.018156377598643303,4.22,11750.08,,,,
69,20098,1394688,1362,0.0019603148,0.07212672,0.8769255876541138,0.148193359375,5444,-1.3327396288514137,0.0240379401948303,-0.00769632650190033,0.0001803168,-0.01974249631166458,4.22,11750.08,,,,
69,20109,1395712,1363,0.0025707893,0.07210624,0.6660431623458862,0.18994140625,5448,-1.3465486019849777,0.07178571680560708,-0.007028953230474144,0.0001802656,0.00437384657561779,4.22,11750.08,,,,
69,20119,1396736,1364,0.0031752733,0.07208576,0.7873260378837585,0.1630859375,5452,-1.3690664619207382,0.05408954084850848,-0.006917318110936321,0.0001802144,-0.015737133100628853,4.22,11750.08,,,,
