time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_reward,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length
7091,582,595968,84,0.006331740878522396,0.00282815,0.8152753114700317,-0.004179101495537907,0.08810112,0.123291015625,0.04447630187496543,2324,-0.8155966587364674,0.0002202528,-13.23,6354.9,,,,
7101,583,596992,84,0.010117876343429089,0.0031024886,0.7557405233383179,-0.0034251960460096598,0.08808064,0.203857421875,0.059019460808485746,2328,-0.8614197783172131,0.0002202016,-13.23,6354.9,,,,
7112,584,598016,84,0.02148507349193096,0.0017769868,0.6279474496841431,-0.0023782127536833286,0.08806016,0.12109375,0.08012982900254428,2332,-0.8237353228032589,0.0002201504,-13.23,6354.9,,,,
7122,585,599040,84,0.010199787095189095,0.0019583956,0.7834140062332153,-0.002495452732546255,0.08803968000000001,0.114501953125,0.051053080009296536,2336,-0.8360101170837879,0.0002200992,-13.17,6379.99,,,,
,,600000,,0.01756436377763748,0.0017858613,0.772729754447937,-0.0028308734617894515,0.0880192,0.07958984375,0.05984520190395415,2340,-0.8190532438457012,0.000220048,,,-1944.905,-4.6,8599.8,8599.8
7220,586,600064,83,,,,,,,,,,,-13.17,6379.99,,,,
7230,587,601088,83,0.00531149934977293,0.0023298534,0.8103151917457581,-0.003919472132110968,0.08799872,0.1171875,0.051172691164538264,2344,-0.8537536188960075,0.0002199968,-13.17,6379.99,,,,
7241,588,602112,83,0.011564484797418118,0.0017468911,0.8265740275382996,-0.001838247204432264,0.08797824,0.10400390625,0.050001130905002356,2348,-0.8355221897363663,0.0002199456,-13.09,6421.78,,,,
7251,589,603136,83,0.01965208910405636,0.0022690408,0.6895597577095032,-0.0028306513268034905,0.08795776,0.099853515625,0.08385951025411487,2352,-0.7874002866446972,0.0002198944,-12.98,6461.88,,,,
7262,590,604160,83,0.0013314643874764442,0.0016719287,0.8053639531135559,-0.0030637539020972326,0.08793728,0.079345703125,0.037863933364860713,2356,-0.8845069780945778,0.0002198432,-12.89,6488.16,,,,
7272,591,605184,83,0.0003865193575620651,0.0023565718,0.7963261008262634,-0.0030974494584370404,0.0879168,0.09130859375,0.05253350851126015,2360,-0.8249747604131699,0.00021979199999999999,-12.89,6488.16,,,,
7281,592,606208,83,0.019990988075733185,0.0025936111,0.7506946325302124,-0.0029968158924020827,0.08789632000000001,0.165283203125,0.06391239492222667,2364,-0.8767865002155304,0.0002197408,-12.8,6522.27,,,,
7291,593,607232,83,0.021757951006293297,0.0018622908,0.7874966859817505,-0.001369109784718603,0.08787584,0.121826171875,0.06250012037344277,2368,-0.8469942472875118,0.00021968959999999998,-12.74,6553.17,,,,
7301,594,608256,83,0.006364140659570694,0.00343069,0.7827068567276001,-0.005316482420312241,0.08785536000000001,0.1181640625,0.05178249999880791,2372,-0.8488429859280586,0.00021963840000000003,-12.74,6553.17,,,,
7311,595,609280,83,0.002914922311902046,0.0015915274,0.8354062438011169,-0.0034276768274139613,0.08783488,0.0908203125,0.04353431146591902,2376,-0.8668286949396133,0.00021958720000000002,-12.74,6553.17,,,,
7321,596,610304,83,0.012596103362739086,0.0016878541,0.719160258769989,-0.0029920430097263306,0.08781440000000001,0.1083984375,0.06896170950494707,2380,-0.9103335030376911,0.00021953600000000002,-12.74,6553.17,,,,
7331,597,611328,83,0.007315990515053272,0.0025408603,0.8001424074172974,-0.0034185085532953963,0.08779392000000001,0.114013671875,0.04820443340577185,2384,-0.894201073795557,0.00021948480000000002,-12.74,6553.17,,,,
7341,598,612352,83,0.009900374338030815,0.0020331508,0.7164520621299744,-0.0037233241891954094,0.08777344000000001,0.087890625,0.06612393213436007,2388,-0.9441700428724289,0.0002194336,-12.61,6593.63,,,,
7351,599,613376,83,0.00040541961789131165,0.0022809678,0.787230908870697,-0.004872727091424167,0.08775296,0.1240234375,0.04746164917014539,2392,-0.9042930938303471,0.0002193824,-12.61,6593.63,,,,
7361,600,614400,83,0.01430424489080906,0.0019946708,0.7053868770599365,-0.0012249184946995229,0.08773248,0.12841796875,0.05886172014288604,2396,-0.955073781311512,0.0002193312,-12.61,6593.63,,,,
7371,601,615424,83,0.021837610751390457,0.0020293898,0.6883997321128845,-0.002994661219418049,0.08771200000000001,0.1416015625,0.07515416806563735,2400,-0.9354259893298149,0.00021928,-12.56,6615.77,,,,
7381,602,616448,83,0.024049874395132065,0.003151884,0.7491892576217651,0.0002991056244354695,0.08769152000000001,0.16796875,0.06001082621514797,2404,-0.9508083648979664,0.0002192288,-12.43,6659.89,,,,
7391,603,617472,83,0.014482209458947182,0.003849764,0.7946620583534241,0.0015118563605938107,0.08767104,0.2119140625,0.05689170025289059,2408,-0.9302323721349239,0.0002191776,-12.43,6659.89,,,,
7401,604,618496,83,0.012229852378368378,0.0015594338,0.7213971614837646,-0.004401873156893998,0.08765056,0.099609375,0.06634607259184122,2412,-0.9576476365327835,0.00021912640000000002,-12.32,6703.5,,,,
