time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward
,2175000,,,0.05650048,0.001570422,0.8503898978233337,0.02071193093433976,-0.006937245780136436,8496,0.18798828125,-1.4551858752965927,0.0001412512,-0.018494946882128716,,,12674.6,12674.6,15.2,-467.81333340000003
349,2176000,2125,6224,,,,,,,,,,,17.09,8868.07,,,,
349,2177024,2126,6225,0.05648,0.0014374983,0.9137078523635864,0.018014428031165153,-0.008760308614000678,8500,0.15478515625,-1.5009998679161072,0.0001412,-0.021920528262853622,17.09,8868.07,,,,
349,2178048,2127,6227,0.05645952000000001,0.0015589052,0.8904435634613037,0.01949399133445695,-0.006427756743505597,8504,0.11767578125,-1.4702008366584778,0.0001411488,-0.01891009882092476,17.02,8913.82,,,,
349,2179072,2128,6228,0.056439039999999996,0.00096527115,0.826774537563324,0.02620341954752803,-0.005036368267610669,8508,0.102783203125,-1.4580311477184296,0.00014109759999999998,-0.015435490757226944,17.01,8918.54,,,,
349,2180096,2129,6229,0.056418560000000006,0.0017681719,0.9056069254875183,0.01841369312023744,-0.006168804771732539,8512,0.114501953125,-1.490883931517601,0.00014104640000000003,-0.017219040542840958,17.01,8918.54,,,,
350,2181120,2130,6230,0.056398079999999996,0.0013148515,0.7141335010528564,0.04409259161911905,-0.005960864888038486,8516,0.10009765625,-1.494140438735485,0.0001409952,-0.01000392995774746,17.01,8918.54,,,,
350,2182144,2131,6231,0.05637760000000001,0.0012398746,0.87137371301651,0.028151683160103858,-0.005397013213951141,8520,0.105224609375,-1.4686239063739777,0.00014094400000000002,-0.014781173318624496,17.0,8897.61,,,,
350,2183168,2132,6232,0.05635712,0.0013828974,0.8574610352516174,0.028384589357301593,-0.007060231902869418,8524,0.10888671875,-1.481236033141613,0.0001408928,-0.018258903175592422,16.99,8920.73,,,,
350,2184192,2133,6233,0.05633664000000001,0.0010541684,0.8236972093582153,0.033559310249984264,-0.006226013996638358,8528,0.14501953125,-1.457443818449974,0.00014084160000000002,-0.015723545104265213,16.99,8920.73,,,,
350,2185216,2134,6234,0.05631616,0.0012543153,0.8250356912612915,0.033769730012863874,-0.006519234098959714,8532,0.15966796875,-1.4400761723518372,0.00014079039999999999,-0.01379832997918129,16.99,8920.73,,,,
350,2186240,2135,6235,0.05629568000000001,0.0012704724,0.884096622467041,0.025717245531268418,-0.006095097778597847,8536,0.115478515625,-1.4511478543281555,0.0001407392,-0.017725776880979538,16.99,8920.73,,,,
350,2187264,2136,6236,0.0562752,0.0012135996,0.8885127902030945,0.030686316662468016,-0.006005910661770031,8540,0.111328125,-1.438605859875679,0.00014068799999999998,-0.01755855791270733,16.99,8920.73,,,,
350,2188288,2137,6237,0.05625472000000001,0.001525326,0.8427244424819946,0.025525687728077173,-0.004627287504263222,8544,0.098876953125,-1.474890187382698,0.0001406368,-0.01060449331998825,16.97,8923.24,,,,
350,2189312,2138,6238,0.056234240000000005,0.0012422312,0.8858305215835571,0.024226901936344802,-0.007511407136917114,8548,0.124755859375,-1.429433599114418,0.0001405856,-0.018944185227155685,16.97,8923.24,,,,
351,2190336,2139,6239,0.05621376,0.002016707,0.8176320195198059,0.03238838177639991,-0.004872722260188311,8552,0.129150390625,-1.446720875799656,0.0001405344,-0.014000537805259228,16.97,8923.24,,,,
351,2191360,2140,6240,0.056193280000000005,0.0013596148,0.8717021346092224,0.02616038150154054,-0.004379560909001157,8556,0.112548828125,-1.4600908234715462,0.00014048320000000002,-0.013041352853178978,16.97,8923.24,,,,
351,2192384,2141,6241,0.0561728,0.0013219018,0.8383263945579529,0.032980853342451155,-0.006052357086446136,8560,0.149658203125,-1.455347515642643,0.000140432,-0.013206632807850838,17.04,8887.17,,,,
351,2193408,2142,6242,0.056152320000000006,0.0024119169,0.8054969906806946,0.03611817769706249,-0.00609518657438457,8564,0.18701171875,-1.4537023827433586,0.0001403808,-0.013679124414920807,17.04,8887.17,,,,
351,2194432,2143,6243,0.05613184,0.0014378226,0.8883357048034668,0.02402781555429101,-0.0061217956827022135,8568,0.137451171875,-1.4704968109726906,0.0001403296,-0.02169683203101158,17.04,8887.17,,,,
351,2195456,2144,6244,0.05611136,0.0015920924,0.8936557769775391,0.01751063606934622,-0.005801629973575473,8572,0.16162109375,-1.4302856773138046,0.0001402784,-0.014251643791794777,16.91,8928.16,,,,
351,2196480,2145,6245,0.05609088,0.0011970161,0.9113370180130005,0.022483018692582846,-0.005579068063525483,8576,0.129150390625,-1.4749582707881927,0.0001402272,-0.017382487654685974,16.9,8910.27,,,,
351,2197504,2146,6246,0.0560704,0.0014498153,0.7989957332611084,0.04326956847216934,-0.006695765536278486,8580,0.165283203125,-1.443577654659748,0.000140176,-0.008863404393196106,16.88,8916.21,,,,
351,2198528,2147,6247,0.05604992,0.0016928053,0.8667083978652954,0.031428694957867265,-0.0054616270354017615,8584,0.13623046875,-1.4584019407629967,0.0001401248,-0.015431437641382217,16.88,8916.21,,,,
351,2199552,2148,6248,0.056029440000000014,0.0017073993,0.9044017791748047,0.01749357912922278,-0.007290031004231423,8588,0.153076171875,-1.4595495164394379,0.00014007360000000001,-0.021548423916101456,16.88,8916.21,,,,
