time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_ep_length,eval/mean_score_reward
79,17296,1377280,1345,0.011632434063358232,0.8337802886962891,0.00018118719999999999,0.0021860027,5376,-0.016251040622591972,-0.004352907359134406,-1.1423454657196999,0.14892578125,0.07247488,8771.52,8.53,,,,
79,17306,1378304,1346,0.036256061983294785,0.7943360805511475,0.00018113600000000004,0.002455745,5380,0.001916728913784027,-0.0022621770185651258,-1.2348113432526588,0.18408203125,0.07245440000000002,8771.52,8.53,,,,
79,17316,1379328,1347,0.03606137481983751,0.8342121243476868,0.0001810848,0.0018585591,5384,-0.009797497652471066,-0.004523618634266313,-1.203774020075798,0.0986328125,0.07243392,8745.77,8.65,,,,
79,17326,1380352,1348,0.040884395013563335,0.7927665114402771,0.00018103360000000003,0.0025967667,5388,-0.006681446917355061,-0.004586317634675652,-1.1463456749916077,0.146728515625,0.07241344000000001,8733.87,8.71,,,,
79,17336,1381376,1349,0.025548203731887043,0.8206965923309326,0.0001809824,0.0031608073,5392,-0.011032596230506897,-0.0044241373834665865,-1.2338344380259514,0.14306640625,0.07239295999999999,8733.87,8.71,,,,
79,17346,1382400,1350,0.015176974731730297,0.8554279804229736,0.00018093120000000002,0.0030872896,5396,-0.01668984442949295,-0.004267643787898123,-1.2229759469628334,0.149169921875,0.07237248,8733.87,8.71,,,,
79,17357,1383424,1351,0.03083328646607697,0.7069918513298035,0.00018088,0.0026039078,5400,-0.010353888384997845,-0.004810996761079878,-1.1557537093758583,0.157958984375,0.072352,8733.87,8.71,,,,
79,17367,1384448,1352,0.008022691821679473,0.9301915764808655,0.0001808288,0.002065067,5404,-0.02632918953895569,-0.006062288302928209,-1.2284230515360832,0.128173828125,0.07233152000000001,8705.86,8.83,,,,
79,17377,1385472,1353,0.019959650468081236,0.813163697719574,0.00018077759999999998,0.002775283,5408,-0.013948597013950348,-0.004897692357189953,-1.1961549669504166,0.142578125,0.07231104,8705.1,8.85,,,,
79,17387,1386496,1354,0.04398744669742882,0.825946033000946,0.0001807264,0.004915205,5412,-0.007268460467457771,-0.004506022902205586,-1.2069846019148827,0.165283203125,0.07229056,8705.1,8.85,,,,
79,17397,1387520,1355,0.033355223829858005,0.786514401435852,0.00018067519999999997,0.0020981927,5416,-0.013903465121984482,-0.004536316657322459,-1.2637538239359856,0.105712890625,0.07227008,8664.51,9.13,,,,
79,17407,1388544,1356,0.04755142703652382,0.7867019772529602,0.000180624,0.00247665,5420,-0.0027430392801761627,-0.005105557560455054,-1.2240003421902657,0.125,0.07224960000000001,8629.58,9.37,,,,
79,17418,1389568,1357,0.03910830232780427,0.7926462888717651,0.00018057280000000002,0.0026952554,5424,-0.010556668974459171,-0.005066267709480599,-1.2076671496033669,0.1806640625,0.07222912000000001,8629.58,9.37,,,,
79,17428,1390592,1358,0.01773335167672485,0.8692336082458496,0.00018052160000000002,0.0023440758,5428,-0.012524759396910667,-0.003745894820895046,-1.2269735857844353,0.11279296875,0.07220864,8629.58,9.37,,,,
79,17438,1391616,1359,0.03852448100224137,0.6174176931381226,0.0001804704,0.0035361182,5432,0.0009160842746496201,-0.0018225177773274481,-1.179114207625389,0.145263671875,0.07218816,8629.58,9.37,,,,
79,17448,1392640,1360,0.010719505662564188,0.9172629714012146,0.0001804192,0.0023876303,5436,-0.02234512008726597,-0.006051859410945326,-1.2414351403713226,0.112060546875,0.07216768,8629.58,9.37,,,,
79,17458,1393664,1361,0.052655118983238935,0.6951231956481934,0.000180368,0.0023782034,5440,0.006180444732308388,-0.004157586517976597,-1.2135051563382149,0.136474609375,0.07214720000000001,8653.29,9.69,,,,
79,17469,1394688,1362,0.05066408799029887,0.831153392791748,0.0001803168,0.0019821983,5444,0.002597818151116371,-0.005931578984018415,-1.2779436707496643,0.084716796875,0.07212672,8653.29,9.69,,,,
79,17478,1395712,1363,0.08278829022310674,0.7533868551254272,0.0001802656,0.0024476047,5448,0.023376278579235077,-0.0035143570858053863,-1.2267768308520317,0.08203125,0.07210624,8624.04,9.83,,,,
79,17488,1396736,1364,0.06620296137407422,0.6586978435516357,0.0001802144,0.0051910477,5452,-0.0028938408941030502,-0.005465141468448564,-1.242920659482479,0.238525390625,0.07208576,8624.04,9.83,,,,
79,17498,1397760,1365,0.036486893775872886,0.7890911102294922,0.0001801632,0.002486122,5456,-0.007669080980122089,-0.005346745572751388,-1.2308112680912018,0.132568359375,0.07206528,8624.04,9.83,,,,
79,17508,1398784,1366,0.030807543080300093,0.7335551381111145,0.00018011199999999999,0.0030682047,5460,-0.004138533025979996,-0.0027285590331302956,-1.2428159713745117,0.154296875,0.0720448,8624.04,9.83,,,,
