time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_ep_length
21,21504,203,105,0.012092120945453644,-1.7404259592294693,0.49736618995666504,0.06899053114466369,80,0.09959040000000001,0.086669921875,-0.0022209556482266635,0.0034108672,0.000248976,-20.727272727272727,3473.909090909091,,,,
22,22528,212,105,0.03939329832792282,-1.7605909556150436,0.3085622787475586,0.11041079880669713,84,0.09956992,0.052734375,-0.002284001122461632,0.0022740182,0.00024892480000000003,-20.695652173913043,3479.695652173913,,,,
23,23552,222,105,0.0115306805819273,-1.761552669107914,0.37990128993988037,0.07512656529434025,88,0.09954944,0.0107421875,-0.0012966103095095605,0.0012578538,0.00024887360000000003,-20.666666666666668,3497.75,,,,
24,24576,233,105,0.0034667495638132095,-1.7487652897834778,0.5259824395179749,0.0660245600156486,92,0.09952896,0.005615234375,-0.0009985158394556493,0.000599551,0.0002488224,-20.666666666666668,3497.75,,,,
,25000,,,0.0046870531514286995,-1.749684862792492,0.6031253337860107,0.0444424725137651,96,0.09950848000000001,0.0,-0.0003039051516680047,0.000799558,0.0002487712,,,-21.0,0.0,3056.0,3056.0
25,25600,274,93,,,,,,,,,,,-20.68,3484.56,,,,
26,26624,284,93,0.0036451928317546844,-1.7561291977763176,0.4766923785209656,0.06310203764587641,100,0.09948800000000001,0.024169921875,-0.0012445634783944115,0.0010036281,0.00024872,-20.692307692307693,3484.576923076923,,,,
27,27648,294,93,0.013069592416286469,-1.7611043155193329,0.6156263947486877,0.08034699829295278,104,0.09946752,0.0,-0.000787969445809722,0.0010745699,0.0002486688,-20.678571428571427,3473.6428571428573,,,,
28,28672,305,93,0.022144174203276634,-1.7659877017140388,0.5366622805595398,0.07010737876407802,108,0.09944704,0.0,-0.00019189229351468384,0.0002498551,0.0002486176,-20.64516129032258,3484.1612903225805,,,,
29,29696,315,94,0.016968976706266403,-1.7692187428474426,0.5221810340881348,0.0914146825671196,112,0.09942656,0.0244140625,-0.001831661706091836,0.0014520404,0.0002485664,-20.64516129032258,3484.1612903225805,,,,
30,30720,325,94,0.04080509394407272,-1.7621446326375008,0.08690077066421509,0.12398209609091282,116,0.09940608000000001,0.096435546875,-0.00135517813032493,0.0033938861,0.0002485152,-20.65625,3484.03125,,,,
