time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward
451,2396160,5302,2340,0.0009795933,-1.4515150785446167,0.05209728,-0.024060184136033058,0.01067288703052327,0.0001302432,-0.0052677790517918766,9356,0.9443690180778503,0.13134765625,9006.81,16.53,,,,
451,2397184,5303,2341,0.0009230483,-1.4344096258282661,0.052076800000000006,-0.019134975969791412,0.013171300757676363,0.000130192,-0.004334309429395944,9360,0.9249563813209534,0.120361328125,9006.81,16.53,,,,
452,2398208,5304,2342,0.0018253846,-1.450263112783432,0.05205632,-0.006183763034641743,0.056874222005717456,0.0001301408,-0.0019243193382862955,9364,0.6447609663009644,0.166015625,9006.81,16.53,,,,
452,2399232,5305,2343,0.0017705336,-1.4110505282878876,0.05203584,-0.01180681586265564,0.01798126398352906,0.0001300896,-0.0046797372051514685,9368,0.8504788875579834,0.154541015625,9006.81,16.53,,,,
,2400000,,,0.001662325,-1.4647101312875748,0.052015360000000004,-0.01900930143892765,0.012896047555841506,0.0001300384,-0.006227435893379152,9372,0.9177833795547485,0.202392578125,,,7871.8,20.0,7871.8,-88.304
449,2400256,5339,2344,,,,,,,,,,,9006.81,16.53,,,,
449,2401280,5340,2345,0.0016935314,-1.4440001249313354,0.05199488,-0.027848204597830772,0.006006342766340822,0.0001299872,-0.005405865493230522,9376,0.9477135539054871,0.162353515625,9012.62,16.61,,,,
449,2402304,5341,2346,0.0010568525,-1.4130456820130348,0.051974400000000004,-0.01844153180718422,0.017954546841792762,0.000129936,-0.004952614603098482,9380,0.898448646068573,0.165283203125,8996.57,16.6,,,,
449,2403328,5342,2347,0.00133329,-1.4702980890870094,0.05195392,-0.025369755923748016,0.008883697824785486,0.0001298848,-0.005920568481087685,9384,0.932016909122467,0.177001953125,8996.57,16.6,,,,
449,2404352,5343,2348,0.0014136186,-1.4246792644262314,0.05193344,-0.02195679396390915,0.007806742476532236,0.0001298336,-0.005016845359932631,9388,0.9185072183609009,0.173095703125,8996.57,16.6,,,,
450,2405376,5344,2349,0.0011919701,-1.4219254106283188,0.05191296000000001,-0.015552076511085033,0.017835766775533557,0.00012978240000000003,-0.005483318469487131,9392,0.896856427192688,0.139404296875,9018.36,16.7,,,,
450,2406400,5345,2350,0.0016637929,-1.4526127502322197,0.05189248,-0.024193257093429565,0.007202006701845676,0.0001297312,-0.006449567183153704,9396,0.9449343681335449,0.1953125,9018.36,16.7,,,,
450,2407424,5346,2351,0.0016387298,-1.4045138135552406,0.05187200000000001,-0.014565478079020977,0.027116145007312298,0.00012968000000000002,-0.005392242077505216,9400,0.7989264726638794,0.158447265625,9015.52,16.71,,,,
450,2408448,5347,2352,0.0010052525,-1.4578263685107231,0.05185152,-0.02161477878689766,0.008782381628407165,0.0001296288,-0.005438795255031437,9404,0.929865837097168,0.126953125,9015.52,16.71,,,,
450,2409472,5348,2353,0.0013575759,-1.419035442173481,0.05183104000000001,-0.009699068032205105,0.03131176414899528,0.0001295776,-0.0039871790795587,9408,0.832585871219635,0.127197265625,9015.52,16.71,,,,
450,2410496,5349,2354,0.0014986664,-1.4361339211463928,0.05181056,-0.013544352725148201,0.025326463859528303,0.00012952639999999998,-0.004562641668599099,9412,0.8033589124679565,0.142578125,9015.52,16.71,,,,
450,2411520,5350,2355,0.0008814793,-1.4316858276724815,0.05179008000000001,-0.017016181722283363,0.01657979900483042,0.0001294752,-0.005034721078118309,9416,0.8753128051757812,0.13818359375,9030.45,16.72,,,,
450,2412544,5351,2356,0.00174441,-1.4266374558210373,0.0517696,-0.021906070411205292,0.006170219305204228,0.000129424,-0.006265487347263843,9420,0.9396424293518066,0.16748046875,9030.45,16.72,,,,
450,2413568,5352,2357,0.0010594086,-1.4142938926815987,0.05174912000000001,-0.016575638204813004,0.016495923278853297,0.00012937280000000002,-0.0055017193662934005,9424,0.8680504560470581,0.123046875,9030.45,16.72,,,,
450,2414592,5354,2358,0.0012910459,-1.419736586511135,0.05172863999999999,-0.018674053251743317,0.015211836958769709,0.0001293216,-0.0038828237738925964,9428,0.8638060092926025,0.121337890625,9030.45,16.72,,,,
451,2415616,5355,2359,0.00082444935,-1.4332772567868233,0.05170816,-0.015199767425656319,0.011403722048271447,0.00012927040000000002,-0.003481242893030867,9432,0.9266833066940308,0.088623046875,9030.45,16.72,,,,
451,2416640,5356,2360,0.0010744364,-1.4295625388622284,0.05168768000000001,-0.010500838048756123,0.023488255334086716,0.0001292192,-0.0032128820894286036,9436,0.8509978652000427,0.155517578125,9030.45,16.72,,,,
451,2417664,5357,2361,0.002017594,-1.404057539999485,0.0516672,-0.013164821080863476,0.01790851104306057,0.000129168,-0.004605988535331562,9440,0.8732236623764038,0.17529296875,9030.45,16.72,,,,
451,2418688,5358,2362,0.00086596457,-1.4455653801560402,0.05164672000000001,-0.0216828640550375,0.013896967691835016,0.0001291168,-0.0062207087757997215,9444,0.8971512317657471,0.119873046875,9030.45,16.72,,,,
451,2419712,5359,2363,0.0015216756,-1.4468089938163757,0.051626240000000004,-0.02154863066971302,0.013178080145735294,0.0001290656,-0.005170903052203357,9448,0.8871471285820007,0.166015625,9037.03,16.69,,,,
451,2420736,5360,2364,0.0019216961,-1.4240084439516068,0.05160576,-0.021489595994353294,0.012968798109795898,0.0001290144,-0.005402556038461626,9452,0.911151111125946,0.1552734375,9058.91,16.68,,,,
451,2421760,5361,2365,0.0011191616,-1.4293111190199852,0.051585280000000004,-0.012069410644471645,0.031267659505829215,0.0001289632,-0.00462983557372354,9456,0.8380336761474609,0.09326171875,9058.91,16.68,,,,
451,2422784,5362,2366,0.0008925466,-1.4578953757882118,0.0515648,-0.018348712474107742,0.017705874692182988,0.000128912,-0.0047436467139050364,9460,0.8666172623634338,0.102294921875,9073.44,16.68,,,,
451,2423808,5363,2367,0.0012382246,-1.428578570485115,0.051544320000000005,-0.02087988704442978,0.011478652886580676,0.0001288608,-0.005726789735490456,9464,0.9031355977058411,0.128662109375,9077.14,16.74,,,,
