time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward
1377280,19661,70,1345,0.0026980538,0.00018118719999999999,-0.007099233567714691,5376,0.184814453125,-0.006833151797764003,0.07247488,0.8625844717025757,-1.5208348855376244,0.04029301507398486,8.21,11863.32,,,,
1378304,19671,70,1346,0.002301663,0.00018113600000000004,-0.019938329234719276,5380,0.123291015625,-0.006784614575735759,0.07245440000000002,0.8754859566688538,-1.52206539362669,0.022853882110211998,8.22,11846.82,,,,
1379328,19681,70,1347,0.0018356272,0.0001810848,-0.01640274189412594,5384,0.131591796875,-0.007158044259995222,0.07243392,0.8241707682609558,-1.4711990058422089,0.034752688370645046,8.22,11846.82,,,,
1380352,19692,70,1348,0.0019069061,0.00018103360000000003,-0.015710264444351196,5388,0.082275390625,-0.005976317683234811,0.07241344000000001,0.8092880249023438,-1.5008173137903214,0.03778013272676617,8.22,11846.82,,,,
1381376,19702,70,1349,0.0025583233,0.0001809824,-0.013642595149576664,5392,0.148193359375,-0.005671605700626969,0.07239295999999999,0.8550808429718018,-1.5509493798017502,0.031168977613560855,8.22,11846.82,,,,
1382400,19712,70,1350,0.0015361458,0.00018093120000000002,-0.024594828486442566,5396,0.111572265625,-0.007326267485041171,0.07237248,0.8877809047698975,-1.517108678817749,0.019434691756032407,8.22,11846.82,,,,
1383424,19722,70,1351,0.0023332164,0.00018088,-0.023682519793510437,5400,0.184326171875,-0.008609154319856316,0.072352,0.8872431516647339,-1.5421685576438904,0.01994553569238633,8.22,11846.82,,,,
1384448,19732,70,1352,0.0014492385,0.0001808288,-0.006411369889974594,5404,0.139892578125,-0.007028398278634995,0.07233152000000001,0.8382967114448547,-1.5064056441187859,0.03965545352548361,8.22,11846.82,,,,
1385472,19742,70,1353,0.0026080264,0.00018077759999999998,-0.01735076867043972,5408,0.14404296875,-0.009762834117282182,0.07231104,0.8255358934402466,-1.5095385611057281,0.04186164611019194,8.22,11846.82,,,,
1386496,19752,70,1354,0.0019189408,0.0001807264,-0.01774774305522442,5412,0.1240234375,-0.007621719618327916,0.07229056,0.878613293170929,-1.5315170660614967,0.024148882715962827,8.22,11846.82,,,,
1387520,19762,70,1355,0.0018863698,0.00018067519999999997,-0.017468731850385666,5416,0.111572265625,-0.006833905325038359,0.07227008,0.837322473526001,-1.5146766528487206,0.027498154900968075,8.49,11743.55,,,,
1388544,19772,70,1356,0.0025446974,0.000180624,-0.004432570189237595,5420,0.12939453125,-0.005200347251957282,0.07224960000000001,0.626007080078125,-1.526545226573944,0.05953876837156713,8.49,11743.55,,,,
1389568,19782,70,1357,0.0014892262,0.00018057280000000002,-0.007642226293683052,5424,0.08642578125,-0.006023853027727455,0.07222912000000001,0.7380750775337219,-1.5264288112521172,0.06010686885565519,8.49,11743.55,,,,
1390592,19792,70,1358,0.0027050008,0.00018052160000000002,-0.016078311949968338,5428,0.14453125,-0.008404878608416766,0.07220864,0.8091725707054138,-1.4927174746990204,0.03164576052222401,8.33,11791.6,,,,
1391616,19803,70,1359,0.002220891,0.0001804704,-0.018113885074853897,5432,0.16259765625,-0.008231014769989997,0.07218816,0.8483514785766602,-1.5225284770131111,0.029096264857798815,8.6,11738.65,,,,
1392640,19813,70,1360,0.0024506352,0.0001804192,-0.02353018708527088,5436,0.1357421875,-0.006700142985209823,0.07216768,0.915324330329895,-1.5310756340622902,0.018508554610889405,8.77,11676.58,,,,
1393664,19823,70,1361,0.00201553,0.000180368,-0.01840531826019287,5440,0.10546875,-0.006541480484884232,0.07214720000000001,0.7935786247253418,-1.516464501619339,0.04713263991288841,8.77,11676.58,,,,
1394688,19833,70,1362,0.0024939538,0.0001803168,-0.022819282487034798,5444,0.173095703125,-0.009922311917762272,0.07212672,0.9076693058013916,-1.5083317682147026,0.027328748372383416,8.94,11564.32,,,,
1395712,19843,70,1363,0.0019021339,0.0001802656,-0.019686471670866013,5448,0.0908203125,-0.008098383623291738,0.07210624,0.8613188862800598,-1.5147446915507317,0.030033902847208083,9.25,11466.4,,,,
1396736,19853,70,1364,0.0018852202,0.0001802144,-0.015808282420039177,5452,0.097900390625,-0.005825753731187433,0.07208576,0.8914602994918823,-1.4759008958935738,0.03198098961729556,9.25,11466.4,,,,
1397760,19863,70,1365,0.0020720083,0.0001801632,-0.015616201795637608,5456,0.14453125,-0.007415120082441717,0.07206528,0.8659364581108093,-1.5062325149774551,0.03444325819145888,9.25,11466.4,,,,
1398784,19873,70,1366,0.0023901064,0.00018011199999999999,-0.02925574779510498,5460,0.16357421875,-0.008487950341077521,0.0720448,0.9291656613349915,-1.5419737845659256,0.012173469527624547,9.55,11373.85,,,,
1399808,19883,70,1367,0.0023321877,0.0001800608,-0.014007724821567535,5464,0.12109375,-0.007214409561129287,0.07202432,0.8341325521469116,-1.4793047904968262,0.049630497582256794,9.55,11373.85,,,,
1400000,,,,0.0022161151,0.0001800096,-0.012211119756102562,5468,0.109619140625,-0.0075819762132596225,0.07200384,0.8967974781990051,-1.5175475180149078,0.027855267631821334,,,12123.4,12123.4,-12.8,-50.1733332
1400832,20018,69,1368,,,,,,,,,,,9.55,11373.85,,,,
1401856,20028,69,1369,0.0024136743,0.00017995840000000003,-0.012523917481303215,5472,0.13232421875,-0.006546217919094488,0.07198336000000001,0.8812784552574158,-1.4420971125364304,0.033503822050988674,9.55,11373.85,,,,
1402880,20038,70,1370,0.002045173,0.0001799072,-0.017395809292793274,5476,0.140380859375,-0.006657478923443705,0.07196287999999999,0.9348730444908142,-1.5193453654646873,0.023476814152672887,9.55,11373.85,,,,
