time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_object_ep_length
2887,1153024,399,1126,0.07696000000000001,0.00019240000000000001,0.04985216702334583,0.158203125,-1.3286474123597145,-0.005257613665889949,0.8372218608856201,4500,0.002217572,-0.0031185485422611237,-1.72,10754.7,,,,
2888,1154048,399,1127,0.07693952,0.00019234879999999998,0.043555878684856,0.1455078125,-1.334661327302456,-0.007602606259752065,0.8260244131088257,4504,0.0026509562,-0.008112210780382156,-1.63,10773.73,,,,
2889,1155072,399,1128,0.07691904000000001,0.0001922976,0.04845223971642554,0.151611328125,-1.3007372245192528,-0.004167899023741484,0.8106824159622192,4508,0.0023561055,-0.002375548705458641,-1.63,10773.73,,,,
2890,1156096,400,1129,0.07689856,0.00019224639999999998,0.052607302786782384,0.13671875,-1.3803145736455917,-0.005458863859530538,0.8071027994155884,4512,0.002540762,-0.005956955254077911,-1.49,10787.19,,,,
2891,1157120,400,1130,0.07687808000000002,0.00019219520000000003,0.034720030846074224,0.16015625,-1.2883400917053223,-0.0052383469010237604,0.8738731741905212,4516,0.0022557366,-0.019925974309444427,-1.49,10787.19,,,,
2892,1158144,400,1131,0.07685760000000001,0.00019214400000000002,0.060119991889223456,0.11279296875,-1.3664489090442657,-0.005112686863867566,0.7434195280075073,4520,0.0017514792,-0.0033505577594041824,-1.36,10803.64,,,,
2893,1159168,400,1132,0.07683712000000001,0.00019209280000000002,0.051974900998175144,0.147705078125,-1.3331916630268097,-0.004560335946734995,0.8028932213783264,4524,0.0028325112,0.0007780250161886215,-1.25,10819.64,,,,
2894,1160192,400,1133,0.07681664,0.00019204160000000001,0.048683993285521865,0.151611328125,-1.3587207943201065,-0.005949637328740209,0.8252856731414795,4528,0.0024874397,-0.006807258352637291,-1.25,10819.64,,,,
2895,1161216,401,1134,0.07679616,0.0001919904,0.04237651627045125,0.114990234375,-1.3562091588974,-0.00688171322690323,0.8664798736572266,4532,0.0019279595,-0.008244510740041733,-1.25,10819.64,,,,
2896,1162240,401,1135,0.07677568000000001,0.0001919392,0.037351715844124556,0.0830078125,-1.3614717051386833,-0.005774168879725039,0.8835228681564331,4536,0.0016662626,-0.01507825218141079,-1.25,10819.64,,,,
2897,1163264,401,1136,0.07675520000000001,0.000191888,0.054206355242058635,0.102294921875,-1.36744873970747,-0.00660278630675748,0.8420835733413696,4540,0.0023355721,-0.008841367438435555,-1.25,10819.64,,,,
2898,1164288,401,1137,0.07673472,0.0001918368,0.04708849871531129,0.1123046875,-1.308618113398552,-0.0046765480656176805,0.8558561205863953,4544,0.0017200089,0.0020880550146102905,-1.24,10809.02,,,,
2899,1165312,401,1138,0.07671424,0.0001917856,0.06101287831552327,0.099609375,-1.30594140291214,-0.007149645651225001,0.7814083695411682,4548,0.0024113085,-0.0003258846700191498,-1.14,10809.11,,,,
2900,1166336,402,1139,0.07669376,0.0001917344,0.0474520199932158,0.13671875,-1.3207602202892303,-0.0068279297556728125,0.7889344096183777,4552,0.0027313074,-0.004589315503835678,-1.14,10809.11,,,,
2901,1167360,402,1140,0.07667328000000001,0.00019168320000000001,0.057292663026601076,0.080810546875,-1.2833954766392708,-0.003916891349945217,0.7678015232086182,4556,0.0019503075,0.004966212436556816,-1.14,10809.11,,,,
2902,1168384,402,1141,0.07665280000000001,0.000191632,0.034720020135864615,0.1796875,-1.349809817969799,-0.007999876921530813,0.846474289894104,4560,0.0024167371,-0.010230302810668945,-1.17,10795.69,,,,
2903,1169408,402,1142,0.07663232,0.0001915808,0.04535146430134773,0.17724609375,-1.3149584978818893,-0.007147915428504348,0.8295921683311462,4564,0.0037206404,-0.012585438787937164,-1.17,10795.69,,,,
2904,1170432,402,1143,0.07661184,0.0001915296,0.05753143155016005,0.1279296875,-1.30337505787611,-0.006287267751758918,0.7785727977752686,4568,0.0023421543,-0.010202229022979736,-1.16,10794.53,,,,
2905,1171456,403,1144,0.07659136,0.0001914784,0.035169081878848374,0.137939453125,-1.2737341225147247,-0.005616963549982756,0.8813390135765076,4572,0.0025462583,-0.01036643236875534,-1.51,10785.13,,,,
2906,1172480,403,1145,0.07657088000000001,0.0001914272,0.061579934787005186,0.161865234375,-1.2921546399593353,-0.006644287379458547,0.8233014941215515,4576,0.0027150223,-0.0031869225203990936,-1.51,10785.13,,,,
2907,1173504,403,1146,0.0765504,0.000191376,0.052175863878801465,0.151611328125,-1.280371867120266,-0.006624842062592506,0.8176835775375366,4580,0.0029792513,-0.003204062581062317,-1.51,10785.13,,,,
2908,1174528,403,1147,0.07652992000000002,0.00019132480000000002,0.0650522829964757,0.133544921875,-1.273864857852459,-0.006069461698643863,0.8111256957054138,4584,0.0023878044,-0.0009438004344701767,-1.51,10785.13,,,,
,1175000,,,0.07650944,0.00019127359999999998,0.04194330424070358,0.209716796875,-1.2973885461688042,-0.006944471679162234,0.8542132377624512,4588,0.0037520358,-0.007231075316667557,,,6.8,10777.0,-687.1099999999999,10777.0
2954,1175552,397,1148,,,,,,,,,,,-1.51,10785.13,,,,
2955,1176576,398,1149,0.07648896000000001,0.0001912224,0.047272722935304046,0.117431640625,-1.3322225585579872,-0.00474525720346719,0.8649601340293884,4592,0.0015612381,-0.00047995708882808685,-1.51,10785.13,,,,
2956,1177600,398,1150,0.07646848,0.00019117119999999998,0.047523015178740025,0.133056640625,-1.2776230871677399,-0.005218894802965224,0.8731896281242371,4596,0.0020554964,0.0005777142941951752,-1.56,10784.23,,,,
2957,1178624,398,1151,0.07644800000000002,0.00019112000000000003,0.059328222181648016,0.1171875,-1.3576215207576752,-0.004286658659111708,0.8270131945610046,4600,0.0021113323,-0.002215038985013962,-1.56,10784.23,,,,
2958,1179648,398,1152,0.07642752,0.0001910688,0.056895873276516795,0.135498046875,-1.3011807054281235,-0.0038798972382210195,0.7510330677032471,4604,0.00221599,0.004864659160375595,-1.39,10788.11,,,,
2959,1180672,398,1153,0.07640704000000001,0.00019101760000000002,0.04689413262531161,0.171142578125,-1.3554791286587715,-0.007150843215640634,0.8140279054641724,4608,0.002884454,-0.006227483972907066,-1.37,10777.91,,,,
2960,1181696,399,1154,0.07638656,0.00019096640000000002,0.049821566324681044,0.1728515625,-1.298143357038498,-0.005762440443504602,0.795095682144165,4612,0.0024058064,-0.0021780841052532196,-1.37,10777.91,,,,
2961,1182720,399,1155,0.07636608,0.0001909152,0.06678926548920572,0.12646484375,-1.3116080090403557,-0.005626964964903891,0.6901718378067017,4616,0.0021727546,0.003338256850838661,-1.37,10777.91,,,,
2962,1183744,399,1156,0.07634560000000001,0.000190864,0.044445647625252604,0.138671875,-1.2991200536489487,-0.005868024309165776,0.8147032260894775,4620,0.0021815388,-0.009643495082855225,-1.37,10777.91,,,,
2963,1184768,399,1157,0.07632512000000001,0.0001908128,0.037948488257825375,0.1376953125,-1.3107423186302185,-0.0060703406925313175,0.8795000910758972,4624,0.0021090098,-0.010524536482989788,-1.37,10777.91,,,,
