time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_score_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward
13510,870,65,890880,0.08220288,0.109619140625,0.0002055072,0.04360863263718784,0.822704553604126,-1.2621870785951614,-0.006558847875567153,0.0020881922,3476,-0.005459684878587723,8648.95,1.04,,,,
13521,871,65,891904,0.0821824,0.0986328125,0.000205456,0.0562478241045028,0.8354181051254272,-1.2751146033406258,-0.004056954581756145,0.0021798895,3480,0.0018539782613515854,8664.84,1.12,,,,
13532,872,65,892928,0.08216192,0.10400390625,0.00020540480000000002,0.046570048900321126,0.848365068435669,-1.3313901349902153,-0.004627253074431792,0.0017346728,3484,-0.002271253615617752,8664.84,1.12,,,,
13543,873,66,893952,0.08214144000000001,0.139404296875,0.0002053536,0.03812052961438894,0.8673166632652283,-1.3107586950063705,-0.0037239042430883273,0.0012565989,3488,-0.0030591990798711777,8656.41,1.11,,,,
13553,874,66,894976,0.08212096,0.123046875,0.0002053024,0.05480463965795934,0.821243405342102,-1.3225665837526321,-0.004263914423063397,0.002059788,3492,-0.0013187602162361145,8656.41,1.11,,,,
13564,875,66,896000,0.08210048,0.085205078125,0.0002052512,0.028894195216707885,0.9067712426185608,-1.3265939801931381,-0.004679846810176969,0.0017026218,3496,-0.010885823518037796,8656.41,1.11,,,,
13575,876,66,897024,0.08208,0.121337890625,0.0002052,0.03189820097759366,0.9169871807098389,-1.3744339495897293,-0.005304158243234269,0.002456001,3500,-0.010942408815026283,8656.41,1.11,,,,
13587,877,66,898048,0.08205952,0.140869140625,0.0002051488,0.029105382971465588,0.9245144128799438,-1.2971123307943344,-0.0031162294326350093,0.0019384706,3504,-0.004727167077362537,8614.36,1.25,,,,
13598,878,66,899072,0.08203904000000001,0.114501953125,0.0002050976,0.05942595028318465,0.816525936126709,-1.285716362297535,-0.0029810515407007188,0.0018419449,3508,0.010243238881230354,8614.36,1.25,,,,
,,,900000,0.08201856,0.103759765625,0.0002050464,0.029708624817430973,0.8989081382751465,-1.3284684866666794,-0.004167842795141041,0.00219431,3512,-0.007954481057822704,,,11.2,8821.2,8821.2,-27.695999999999998
13703,879,65,900096,,,,,,,,,,,8614.36,1.25,,,,
13714,880,65,901120,0.08199808,0.078369140625,0.00020499519999999999,0.03626475436612964,0.8570194244384766,-1.297030009329319,-0.0032717649010010064,0.001955294,3516,-0.007583586499094963,8614.36,1.25,,,,
13725,881,65,902144,0.08197760000000001,0.11669921875,0.000204944,0.060927603393793106,0.7334295511245728,-1.332343876361847,-0.004783183307154104,0.0017348676,3520,0.005107743665575981,8614.36,1.25,,,,
13736,882,65,903168,0.08195712,0.1318359375,0.00020489279999999998,0.03712012933101505,0.8604318499565125,-1.351017914712429,-0.0038587440794799477,0.0017597198,3524,-0.0047937799245119095,8629.4,1.07,,,,
13746,883,65,904192,0.08193664,0.119873046875,0.00020484160000000003,0.029998320620507002,0.8703457713127136,-1.2589369416236877,-0.004870695309364237,0.0021604104,3528,-0.005820435471832752,8629.4,1.07,,,,
13757,884,65,905216,0.08191616,0.0908203125,0.0002047904,0.04155723575968295,0.8750209808349609,-1.2706403955817223,-0.0038089313311502337,0.0016817916,3532,-0.004510967060923576,8629.4,1.07,,,,
13768,885,65,906240,0.08189568000000001,0.12255859375,0.00020473920000000002,0.04254928743466735,0.7719274163246155,-1.298986330628395,-0.005026920713135041,0.0025372072,3536,8.663162589073181e-06,8679.16,0.99,,,,
