time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_score_ep_length,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_object_reward
10702,3962,4057088,379,0.018878720000000005,15844,-1.5093898251652718,-0.0020091048791073263,0.000115034694,-0.014399107545614243,4.719680000000001e-05,0.01020744547713548,0.9015083312988281,0.113037109375,19.47,9226.5,,,,
10703,3963,4058112,379,0.018858240000000005,15848,-1.5010132417082787,-0.0021752039901912212,0.00013497536,-0.015777843073010445,4.714560000000001e-05,0.008403711719438434,0.9300827383995056,0.15478515625,19.47,9226.5,,,,
10704,3964,4059136,379,0.018837760000000005,15852,-1.4529283121228218,-0.002621032588649541,0.00018905499,-0.015543839894235134,4.709440000000001e-05,0.010389801056589931,0.9384788274765015,0.138671875,19.47,9226.5,,,,
10705,3965,4060160,379,0.018817280000000006,15856,-1.5199010372161865,-0.0025787256890907884,0.00021206005,-0.014049900695681572,4.704320000000001e-05,0.014241207391023636,0.8955486416816711,0.186767578125,19.47,9226.5,,,,
10706,3966,4061184,379,0.018796800000000002,15860,-1.533915564417839,-0.002240045287180692,0.00017344533,-0.017029715701937675,4.699200000000001e-05,0.006823515548603609,0.9522078037261963,0.141845703125,19.47,9226.5,,,,
10707,3967,4062208,379,0.018776320000000003,15864,-1.4715371131896973,-0.002358232799451798,0.00023628521,-0.015006758272647858,4.69408e-05,0.011236550228204578,0.945539653301239,0.12841796875,19.47,9226.5,,,,
10708,3968,4063232,379,0.018755840000000003,15868,-1.505768857896328,-0.002538218512199819,0.00018408179,-0.016842246055603027,4.6889600000000006e-05,0.007578658027341589,0.9423240423202515,0.120849609375,19.51,9152.04,,,,
10709,3969,4064256,379,0.018735360000000003,15872,-1.5331128016114235,-0.0026947600417770445,0.00015631889,-0.018120471388101578,4.68384e-05,0.0054615292174275964,0.9673129320144653,0.151123046875,19.5,9171.02,,,,
10710,3970,4065280,379,0.01871488,15876,-1.4715771898627281,-0.0026131508639082313,0.0001572647,-0.016198374330997467,4.6787200000000005e-05,0.009229290939401835,0.946457028388977,0.12939453125,19.5,9158.38,,,,
10711,3971,4066304,379,0.0186944,15880,-1.5053150728344917,-0.0026333763380534947,0.00018675654,-0.016808796674013138,4.6736e-05,0.006850941834272817,0.9606373906135559,0.136474609375,19.5,9158.38,,,,
10712,3972,4067328,379,0.01867392,15884,-1.5106551200151443,-0.002406482759397477,0.00015785161,-0.016659241169691086,4.66848e-05,0.007670192600926384,0.9513262510299683,0.16455078125,19.51,9174.63,,,,
10713,3973,4068352,379,0.01865344,15888,-1.4573228284716606,-0.0024978168366942555,0.00023327104,-0.015281911939382553,4.66336e-05,0.010800684220157564,0.9340444207191467,0.125,19.52,9193.82,,,,
10714,3974,4069376,379,0.01863296,15892,-1.5157853364944458,-0.0020923137199133635,0.00020285824,-0.01569940149784088,4.6582399999999996e-05,0.012636943836696446,0.9090218544006348,0.160888671875,19.56,9174.24,,,,
10715,3975,4070400,379,0.018612479999999997,15896,-1.4999703094363213,-0.002291729731950909,0.00019352528,-0.012173580005764961,4.653119999999999e-05,0.014777558099012822,0.9134867787361145,0.113525390625,19.56,9174.24,,,,
10716,3976,4071424,379,0.018591999999999997,15900,-1.4788729026913643,-0.0023834476596675813,0.00013753836,-0.013810651376843452,4.6479999999999995e-05,0.009417319728527218,0.9401317238807678,0.10986328125,19.56,9174.24,,,,
10717,3977,4072448,379,0.018571519999999998,15904,-1.4912914633750916,-0.0021138371084816754,0.00016610947,-0.011243290267884731,4.642879999999999e-05,0.01883635693229735,0.8821836709976196,0.134521484375,19.56,9174.24,,,,
10718,3978,4073472,380,0.018551039999999998,15908,-1.4691710695624352,-0.0021732315071858466,0.00018004136,-0.012042921967804432,4.6377599999999995e-05,0.014885599433910102,0.9127106666564941,0.122802734375,19.56,9174.24,,,,
10719,3979,4074496,380,0.018530559999999998,15912,-1.5123745799064636,-0.002580114989541471,0.00015290978,-0.009332865476608276,4.632639999999999e-05,0.023371745832264423,0.8664564490318298,0.1240234375,19.56,9174.24,,,,
,,4075000,,0.018510079999999995,15916,-1.5320419445633888,-0.002000178530579433,0.00015037571,-0.01576065458357334,4.627519999999999e-05,0.00842130181263201,0.9471726417541504,0.162841796875,,,9662.4,9662.4,21.0,-131.14
10759,3980,4075520,378,,,,,,,,,,,19.56,9174.24,,,,
10760,3981,4076544,378,0.018489599999999995,15920,-1.4842729941010475,-0.0023477095528505743,0.00021069683,-0.013027127832174301,4.622399999999999e-05,0.020533073809929192,0.8775525093078613,0.12890625,19.56,9174.24,,,,
10761,3982,4077568,378,0.018469120000000006,15924,-1.5140626430511475,-0.0022030912805348635,0.00016800204,-0.007082974538207054,4.617280000000001e-05,0.03056126495357603,0.7681884765625,0.141845703125,19.56,9174.24,,,,
10762,3983,4078592,378,0.018448640000000006,15928,-1.5394822657108307,-0.001761702704243362,0.00019802299,-0.008897638879716396,4.6121600000000016e-05,0.017503969953395426,0.9049171209335327,0.14306640625,19.54,9183.84,,,,
10763,3984,4079616,379,0.018428160000000006,15932,-1.4923465698957443,-0.0023336318554356694,0.00044344814,-0.010056665167212486,4.607040000000001e-05,0.02018132887315005,0.9029939770698547,0.129150390625,19.54,9174.69,,,,
10764,3985,4080640,379,0.018407680000000006,15936,-1.5106933414936066,-0.0023754648864269257,0.00018868322,-0.009620266035199165,4.601920000000001e-05,0.021325803361833096,0.8610615730285645,0.130615234375,19.52,9240.58,,,,
10765,3986,4081664,379,0.018387200000000003,15940,-1.5054116696119308,-0.0023578532855026424,0.00015692349,-0.011056858114898205,4.596800000000001e-05,0.015289935399778187,0.9105275273323059,0.14990234375,19.53,9249.59,,,,
10766,3987,4082688,379,0.018366720000000003,15944,-1.51065943390131,-0.0022511292481794953,0.00027691212,-0.014910664409399033,4.591680000000001e-05,0.012204529775772244,0.9160210490226746,0.17578125,19.53,9249.59,,,,
10767,3988,4083712,379,0.018346240000000003,15948,-1.4989668056368828,-0.0024598054005764425,0.00017641013,-0.01280487235635519,4.586560000000001e-05,0.018266892875544727,0.8904746770858765,0.12841796875,19.53,9249.59,,,,
10768,3989,4084736,379,0.018325760000000003,15952,-1.5161645039916039,-0.001976007071789354,0.00020654965,-0.010882539674639702,4.5814400000000006e-05,0.014840684540104121,0.8784949779510498,0.17236328125,19.53,9249.59,,,,
10769,3990,4085760,379,0.018305280000000004,15956,-1.5411256924271584,-0.002662178099853918,0.00015856675,-0.017377115786075592,4.57632e-05,0.008546438330085948,0.9310438632965088,0.10498046875,19.52,9249.79,,,,
10770,3991,4086784,379,0.0182848,15960,-1.4601437970995903,-0.001665925607085228,0.00011271442,-0.0024225590750575066,4.5712000000000006e-05,0.04508912761230022,0.8106897473335266,0.07958984375,19.52,9249.79,,,,
10771,3992,4087808,379,0.01826432,15964,-1.4628203809261322,-0.0017545001464895904,0.00020950817,-0.0059942929074168205,4.56608e-05,0.027323809452354908,0.8683176040649414,0.158203125,19.52,9249.79,,,,
10772,3993,4088832,379,0.01824384,15968,-1.4628824964165688,-0.001570417793118395,0.00022180815,0.0036085061728954315,4.56096e-05,0.043688384583219886,0.8780168890953064,0.1591796875,19.5,9277.87,,,,
10773,3994,4089856,379,0.01822336,15972,-1.4318336844444275,-0.00176271703094244,0.00029717293,-0.004427345469594002,4.55584e-05,0.03635237435810268,0.9056116938591003,0.095703125,19.5,9277.87,,,,
10774,3995,4090880,379,0.01820288,15976,-1.528072565793991,-0.0019891776610165834,0.00017425173,-0.007950499653816223,4.55072e-05,0.031069240882061422,0.8345579504966736,0.1171875,19.5,9277.87,,,,
10775,3996,4091904,379,0.018182399999999998,15980,-1.5088419690728188,-0.0018173419521190226,0.00020169804,-0.011709356680512428,4.5456e-05,0.014948033960536122,0.9450555443763733,0.1123046875,19.5,9277.87,,,,
10776,3997,4092928,379,0.018161919999999998,15984,-1.5286136791110039,-0.001650310237891972,0.00023655273,-0.013225434347987175,4.5404799999999996e-05,0.011802530789282173,0.9203234910964966,0.109375,19.51,9234.77,,,,
10777,3998,4093952,379,0.018141439999999998,15988,-1.5279483795166016,-0.002439985139062628,0.00015980407,-0.01506919413805008,4.535359999999999e-05,0.008507781632943079,0.9265546202659607,0.140380859375,19.51,9234.77,,,,
10778,3999,4094976,379,0.01812096,15992,-1.5245768651366234,-0.0019054450385738164,0.00012852764,-0.015799054875969887,4.5302399999999995e-05,0.008228488673921674,0.9479883909225464,0.1064453125,19.52,9241.91,,,,
10779,4000,4096000,379,0.01810048,15996,-1.5093425810337067,-0.0023157012765295804,0.00012980489,-0.01668100245296955,4.525119999999999e-05,0.007892976747825742,0.9381969571113586,0.125244140625,19.52,9241.91,,,,
10780,4001,4097024,380,0.018079999999999995,16000,-1.5292939096689224,-0.001953778904862702,0.00015640864,-0.013152173720300198,4.5199999999999994e-05,0.012397214828524739,0.884797990322113,0.131103515625,19.53,9195.74,,,,
10782,4002,4098048,380,0.018059519999999996,16004,-1.5051439628005028,-0.002438132301904261,0.0001561938,-0.018006829544901848,4.514879999999999e-05,0.006979754922213033,0.9474352598190308,0.129638671875,19.52,9193.48,,,,
10783,4003,4099072,380,0.018039039999999996,16008,-1.4862236827611923,-0.0025528688565827906,0.00016708655,-0.01477886363863945,4.5097599999999986e-05,0.012884980300441384,0.9037207365036011,0.139892578125,19.52,9193.48,,,,
,,4100000,,0.018018559999999996,16012,-1.5178028866648674,-0.002037792874034494,0.0001760035,-0.013636534102261066,4.504639999999999e-05,0.009278458397602662,0.9238137006759644,0.13525390625,,,11210.6,11210.6,21.0,-305.55333340000004
10829,4004,4100096,378,,,,,,,,,,,19.52,9193.48,,,,
10830,4005,4101120,378,0.017998080000000007,16016,-1.5025599151849747,-0.0022991930600255728,0.00018516637,-0.01602478139102459,4.499520000000001e-05,0.008729323541047052,0.9336421489715576,0.1455078125,19.52,9193.48,,,,
