time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length
321536,314,87,3671,0.0002339744,0.014385847374796867,0.005615234375,0.09358976000000001,-1.6584416404366493,0.06947857025079429,0.0007085995,0.6552029848098755,1252,-0.000976601557340473,3686.85,-20.28,,,,
322560,315,87,3682,0.0002339232,0.005802365019917488,0.10986328125,0.09356928,-1.648676797747612,0.06295936973765492,0.0033063437,0.7375718355178833,1256,-0.00122280657524243,3686.85,-20.28,,,,
323584,316,87,3693,0.000233872,0.02378927171230316,0.02734375,0.0935488,-1.6492407321929932,0.09050803584977984,0.0012566266,0.4225066900253296,1260,0.0006839499401394278,3686.85,-20.28,,,,
324608,317,87,3703,0.0002338208,0.0313781201839447,0.14111328125,0.09352832,-1.650524079799652,0.09583373367786407,0.0027466728,0.527658224105835,1264,-0.0023110097099561244,3678.82,-20.3,,,,
325000,,,,0.0002337696,0.025901395827531815,0.146484375,0.09350784000000001,-1.6264865696430206,0.08298763912171125,0.0028154023,0.4209081530570984,1268,-0.0029693851829506457,,,-2394.89,3180.4,-20.6,3180.4
325632,318,86,3746,,,,,,,,,,,3690.27,-20.3,,,,
326656,319,86,3756,0.0002337184,0.001041380688548088,0.029541015625,0.09348736,-1.6357482746243477,0.046044569462537766,0.0011557173,0.7858687043190002,1272,-0.0017331634735455737,3690.27,-20.3,,,,
327680,320,86,3766,0.0002336672,0.011521752923727036,0.019287109375,0.09346688,-1.631402738392353,0.07179353223182261,0.00073053746,0.4854046106338501,1276,-0.0008541067654732615,3698.31,-20.29,,,,
328704,321,87,3777,0.000233616,-0.012108296155929565,0.06103515625,0.0934464,-1.6178222075104713,0.03225284186191857,0.0013054695,0.8447275161743164,1280,-0.002445224061375484,3729.08,-20.25,,,,
329728,322,87,3787,0.0002335648,0.006796803325414658,0.184814453125,0.09342592,-1.630387157201767,0.06740953912958503,0.0016502263,0.7626724243164062,1284,-0.0004737807030323893,3735.95,-20.24,,,,
330752,323,87,3797,0.00023351359999999999,0.013293160125613213,0.06494140625,0.09340544,-1.6315772607922554,0.07731647090986371,0.0023698027,0.5720006227493286,1288,-0.001877335860626772,3735.95,-20.24,,,,
331776,324,87,3807,0.0002334624,0.003352988511323929,0.03564453125,0.09338496000000002,-1.6265449970960617,0.04520870256237686,0.001270666,0.7077428102493286,1292,-0.001827980304369703,3756.17,-20.22,,,,
332800,325,87,3817,0.00023341119999999998,5.0514936447143555e-05,0.05419921875,0.09336448,-1.6273807287216187,0.02782752685016021,0.0016382847,0.8927304744720459,1296,-0.0015913467505015433,3754.64,-20.22,,,,
333824,326,87,3827,0.00023336000000000003,0.011894721537828445,0.024169921875,0.09334400000000001,-1.6108089908957481,0.07714896858669817,0.0005322022,0.6321960687637329,1300,-0.0007987728604348376,3760.3,-20.2,,,,
334848,327,87,3836,0.00023330880000000003,0.00891607441008091,0.041748046875,0.09332352000000001,-1.600121557712555,0.06618359289132059,0.0022246807,0.6517043709754944,1304,-0.001440046587958932,3757.86,-20.2,,,,
335872,328,87,3846,0.00023325760000000002,0.007186973467469215,0.04541015625,0.09330304,-1.5649268627166748,0.0495497677475214,0.0020392307,0.6664465665817261,1308,-0.0005444948474178091,3757.86,-20.2,,,,
336896,329,87,3856,0.00023320640000000002,0.018991317600011826,0.06884765625,0.09328256000000001,-1.5845439210534096,0.06251389090903103,0.001493127,0.6695231199264526,1312,0.000508013748913072,3763.51,-20.2,,,,
337920,330,87,3866,0.00023315520000000001,0.019642449915409088,0.0927734375,0.09326208000000001,-1.573676235973835,0.08486487343907356,0.0022726315,0.6718419790267944,1316,0.000969608809100464,3768.53,-20.19,,,,
338944,331,87,3876,0.000233104,0.01785077154636383,0.079345703125,0.09324160000000001,-1.5647460222244263,0.07629636325873435,0.0023238594,0.44897353649139404,1320,0.001200253755087033,3763.5,-20.17,,,,
339968,332,87,3886,0.0002330528,-0.006524038501083851,0.25,0.09322112,-1.5552152916789055,0.03952686314005405,0.0030690262,0.7554779648780823,1324,-0.00588197834440507,3771.38,-20.16,,,,
340992,333,87,3895,0.0002330016,-0.0027746614068746567,0.171142578125,0.09320064,-1.5651391670107841,0.0327467747265473,0.0032476946,0.8134787082672119,1328,-0.0037427193019539118,3774.17,-20.17,,,,
342016,334,87,3905,0.0002329504,0.014352172613143921,0.11474609375,0.09318016000000001,-1.558806262910366,0.06295840675011277,0.0016190452,0.7863040566444397,1332,-0.0007580803066957742,3774.17,-20.17,,,,
343040,335,87,3915,0.0002328992,-0.0005314834415912628,0.143310546875,0.09315968000000001,-1.5715594813227654,0.06869081244803965,0.0034927893,0.5084218978881836,1336,-0.0024912166118156165,3774.17,-20.17,,,,
344064,336,87,3925,0.00023284800000000002,0.019903860986232758,0.054931640625,0.0931392,-1.5432729348540306,0.08623382356017828,0.0019353058,0.4841125011444092,1340,-0.0014411373995244503,3787.78,-20.15,,,,
345088,337,87,3935,0.00023279680000000001,0.0054867565631866455,0.130615234375,0.09311872,-1.5345158353447914,0.046086692716926336,0.0014914515,0.790673017501831,1344,-0.0018402887508273125,3799.23,-20.13,,,,
346112,338,87,3945,0.0002327456,0.0031444933265447617,0.089111328125,0.09309824,-1.5448778569698334,0.03621295315679163,0.0019986264,0.8595041036605835,1348,-0.002338117395993322,3799.23,-20.13,,,,
347136,339,87,3955,0.0002326944,0.011761428788304329,0.0693359375,0.09307776000000001,-1.54762601852417,0.06382960779592395,0.0021911634,0.8362233638763428,1352,-0.0019522027650964446,3792.98,-20.17,,,,
348160,340,87,3965,0.0002326432,0.008526843041181564,0.1572265625,0.09305728,-1.536954253911972,0.06068842182867229,0.0033806558,0.7964078187942505,1356,-0.00015793106285855174,3792.98,-20.17,,,,
349184,341,87,3975,0.000232592,0.015479298308491707,0.1865234375,0.0930368,-1.5216193720698357,0.08644890272989869,0.002182683,0.4463701844215393,1360,-0.00432167956023477,3787.34,-20.18,,,,
350000,,,,0.0002325408,0.015561316162347794,0.05029296875,0.09301632,-1.527127429842949,0.07402326189912856,0.001182216,0.6839436292648315,1364,-0.0004243623116053641,,,-254.81,5088.0,-21.0,5088.0
350208,342,86,4040,,,,,,,,,,,3787.34,-20.18,,,,
351232,343,86,4050,0.0002324896,0.010585810989141464,0.03955078125,0.09299584,-1.5161120742559433,0.05807675747200847,0.0011246972,0.45993369817733765,1368,-0.0005367258854676038,3787.34,-20.18,,,,
352256,344,86,4060,0.0002324384,0.02155185118317604,0.012451171875,0.09297536,-1.543179526925087,0.09949740767478943,0.0003757173,0.38761216402053833,1372,-0.0003798372345045209,3794.09,-20.17,,,,
353280,345,86,4070,0.00023238719999999998,0.007439032196998596,0.0927734375,0.09295488,-1.507977232336998,0.049219289096072316,0.00182552,0.7771097421646118,1376,-0.001546403975225985,3798.41,-20.17,,,,
354304,346,86,4079,0.00023233599999999998,0.0027302633970975876,0.06640625,0.0929344,-1.4921918287873268,0.05939294258132577,0.0024204156,0.7111694812774658,1380,-0.001999754778807983,3806.43,-20.16,,,,
355328,347,86,4090,0.00023228480000000003,-0.005762763321399689,0.134521484375,0.09291392000000001,-1.499349407851696,0.03790003224276006,0.002839053,0.7775708436965942,1384,-0.0031402666063513607,3833.87,-20.12,,,,
356352,348,86,4099,0.0002322336,0.00495099276304245,0.160888671875,0.09289344,-1.4968992546200752,0.06627768999896944,0.0039232057,0.7466036081314087,1388,-0.0028894922870676965,3840.42,-20.12,,,,
