time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
915,645,577,590848,-1.2300289273262024,0.0002205088,0.5846459269523621,0.002527348231524229,0.0020547789,0.08820352000000001,0.18603515625,0.07189922383986413,0.016514170914888382,2304,5124.92,-18.9,,,,
916,645,578,591872,-1.2821074351668358,0.0002204576,0.30364251136779785,-0.000396856979932636,0.0018636526,0.08818304,0.130126953125,0.0645972068887204,0.016514472663402557,2308,5124.92,-18.9,,,,
917,645,579,592896,-1.308005467057228,0.0002204064,0.2635396718978882,-0.002170370251405984,0.0015617383,0.08816256,0.083740234375,0.09780066460371017,0.03293205052614212,2312,5124.92,-18.9,,,,
918,646,580,593920,-1.2884026989340782,0.0002203552,0.5792375802993774,-0.0036651647242251784,0.0009489809,0.08814208000000001,0.120361328125,0.051655039889737964,0.006988849490880966,2316,5124.92,-18.9,,,,
919,646,581,594944,-1.3496760725975037,0.000220304,0.4421005845069885,-0.0028794899699278176,0.0023336466,0.08812160000000001,0.094970703125,0.08661876060068607,0.016683105379343033,2320,5176.71,-18.92,,,,
920,647,582,595968,-1.382548451423645,0.0002202528,0.4164193868637085,-0.0015098571602720767,0.0013206226,0.08810112,0.075439453125,0.061911666532978415,0.006772229447960854,2324,5176.71,-18.92,,,,
921,647,583,596992,-1.2989822030067444,0.0002202016,0.2819436192512512,-0.001624981057830155,0.0018456543,0.08808064,0.07861328125,0.08683919347822666,0.019033920019865036,2328,5197.37,-18.91,,,,
922,647,584,598016,-1.2656261622905731,0.0002201504,0.7132123708724976,-0.00012632465222850442,0.0021748028,0.08806016,0.07666015625,0.04338890081271529,0.008258678019046783,2332,5223.6,-18.88,,,,
923,648,585,599040,-1.2438305467367172,0.0002200992,0.4279417395591736,-0.0011948550527449697,0.0008484839,0.08803968000000001,0.077392578125,0.098723114002496,0.021580912172794342,2336,5223.6,-18.88,,,,
,,,600000,-1.3151572048664093,0.000220048,0.6430056691169739,-0.0009155330481007695,0.0020458947,0.0880192,0.077392578125,0.05108887911774218,0.004456384107470512,2340,,,7160.2,7160.2,-458.7866668,-12.4
954,628,586,600064,,,,,,,,,,,5226.2,-18.89,,,,
955,628,587,601088,-1.3047889843583107,0.0002199968,0.6019541025161743,-0.0021155990252736956,0.0012333591,0.08799872,0.075439453125,0.05800426402129233,0.010257486253976822,2344,5226.2,-18.89,,,,
956,629,588,602112,-1.3237179592251778,0.0002199456,0.320356547832489,-0.0020415431645233184,0.0014818611,0.08797824,0.06591796875,0.06485111103393137,0.014506770297884941,2348,5226.2,-18.89,,,,
957,629,589,603136,-1.3398761823773384,0.0002198944,0.543978214263916,-0.0029793817084282637,0.0014313171,0.08795776,0.058349609375,0.049771834164857864,-0.0005459543317556381,2352,5264.55,-18.85,,,,
958,630,590,604160,-1.3275965005159378,0.0002198432,0.6683874130249023,-0.0028926033119205385,0.0014790136,0.08793728,0.093994140625,0.0433702461887151,0.0008970219641923904,2356,5264.55,-18.85,,,,
959,630,591,605184,-1.2849622070789337,0.00021979199999999999,0.3833966851234436,-0.0023009374854154885,0.0015070135,0.0879168,0.090087890625,0.08125122170895338,0.020114867016673088,2360,5264.55,-18.85,,,,
960,630,592,606208,-1.334196649491787,0.0002197408,0.35987091064453125,-0.0013789730437565595,0.0012808653,0.08789632000000001,0.0927734375,0.05976471118628979,0.009094005450606346,2364,5264.55,-18.85,,,,
961,631,593,607232,-1.3209886699914932,0.00021968959999999998,0.4170690178871155,-0.000116646260721609,0.0014831534,0.08787584,0.150146484375,0.06736763287335634,0.010205613449215889,2368,5264.55,-18.85,,,,
962,631,594,608256,-1.3040388152003288,0.00021963840000000003,0.45010024309158325,-0.0027614958526100963,0.0010484257,0.08785536000000001,0.107666015625,0.0739212199114263,0.009587220847606659,2372,5291.53,-18.84,,,,
963,632,595,609280,-1.345224641263485,0.00021958720000000002,0.46174758672714233,-0.0014116077800281346,0.002148937,0.08783488,0.087646484375,0.059012169716879725,0.006957791745662689,2376,5346.09,-18.75,,,,
964,632,596,610304,-1.3103930577635765,0.00021953600000000002,0.6066418290138245,-0.00380015088012442,0.0016343812,0.08781440000000001,0.05859375,0.05063672084361315,0.0006156545132398605,2380,5389.32,-18.73,,,,
