time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
64,4721,303104,296,-1.3735088780522346,0.017822265625,0.5610995888710022,1180,0.0014670984,-0.00042348682472947985,0.0939584,0.07210966851562262,0.000234896,0.012082215398550034,-20.02,3911.29,,,,
64,4734,304128,297,-1.3679656386375427,0.07763671875,0.768123984336853,1184,0.002012673,-0.002344369131606072,0.09393792000000001,0.04492682218551636,0.0002348448,-0.0009884051978588104,-20.02,3902.71,,,,
64,4748,305152,298,-1.3833987265825272,0.089111328125,0.6672580242156982,1188,0.0017274278,-0.0017552505887579173,0.09391744,0.09155994886532426,0.0002347936,0.030203068628907204,-20.02,3900.95,,,,
64,4762,306176,299,-1.3752544671297073,0.10546875,0.6452457308769226,1192,0.0014518551,-0.0013741674192715436,0.09389696,0.08554886374622583,0.0002347424,0.03639401122927666,-20.02,3900.95,,,,
64,4776,307200,300,-1.3600458204746246,0.169677734375,0.44574010372161865,1196,0.002382909,-0.0032746081706136465,0.09387648,0.08131813770160079,0.0002346912,0.014369945973157883,-20.02,3900.95,,,,
64,4790,308224,301,-1.3829071074724197,0.026123046875,0.7125327587127686,1200,0.0013235047,0.0008811208099359646,0.093856,0.07772296923212707,0.00023464,0.014308882877230644,-19.97,3939.33,,,,
64,4805,309248,302,-1.352930948138237,0.0869140625,0.7184873819351196,1204,0.001316163,-0.0019431575492490083,0.09383552,0.060130061814561486,0.00023458879999999999,0.007887119427323341,-19.98,3926.99,,,,
64,4819,310272,303,-1.3767421394586563,0.05517578125,0.2969300150871277,1208,0.0020745974,-0.001207641587825492,0.09381504000000002,0.10186776518821716,0.0002345376,0.02971220761537552,-19.98,3926.99,,,,
64,4833,311296,304,-1.341044768691063,0.09716796875,0.66072678565979,1212,0.001811771,-0.0013607565924758092,0.09379456000000001,0.04909466113895178,0.0002344864,0.0039686039090156555,-19.97,3936.85,,,,
64,4848,312320,305,-1.365767315030098,0.084228515625,0.7041608095169067,1216,0.0018460685,-0.00110897165723145,0.09377408000000001,0.044721999671310186,0.00023443520000000003,0.006253102794289589,-19.96,3934.59,,,,
