#{"t_start": 1752505676.7818449, "env_id": "SafeCartPole-v0"}
r,l,t,c
39.0,39,15.956625,0.0
24.0,24,15.977429,0.0
62.0,62,16.030832,0.0
60.0,60,16.082566,0.0
20.0,20,16.099805,0.0
199.0,199,16.27184,36.0
74.0,74,16.335634,0.0
29.0,29,16.360618,0.0
71.0,71,16.421695,0.0
65.0,65,16.477766,0.0
50.0,50,16.520977,0.0
101.0,101,17.092395,21.0
49.0,49,17.134437,0.0
80.0,80,17.203142,0.0
78.0,78,17.270058,12.0
195.0,195,17.437426,8.0
68.0,68,17.495845,0.0
37.0,37,17.52761,0.0
77.0,77,17.600642,0.0
200.0,200,17.775512,0.0
40.0,40,17.810608,0.0
183.0,183,17.969237,58.0
119.0,119,18.0713,0.0
50.0,50,18.114163,0.0
73.0,73,18.176792,0.0
121.0,121,18.280549,29.0
113.0,113,18.377233,40.0
83.0,83,18.448257,0.0
142.0,142,18.57011,0.0
38.0,38,18.602681,0.0
95.0,95,18.683885,10.0
40.0,40,18.718204,0.0
76.0,76,18.783304,0.0
111.0,111,19.364533,0.0
145.0,145,19.48981,11.0
144.0,144,19.614181,0.0
200.0,200,19.78771,33.0
124.0,124,19.895418,0.0
55.0,55,19.942885,0.0
143.0,143,20.065827,0.0
200.0,200,20.237816,0.0
60.0,60,20.290236,0.0
29.0,29,20.315161,0.0
72.0,72,20.377009,0.0
136.0,136,20.494035,0.0
41.0,41,20.529253,0.0
185.0,185,20.688707,0.0
200.0,200,20.860417,34.0
76.0,76,20.92596,0.0
33.0,33,20.95437,0.0
160.0,160,21.091949,27.0
123.0,123,21.68622,16.0
200.0,200,21.859574,12.0
200.0,200,22.032707,23.0
99.0,99,22.118356,9.0
134.0,134,22.233471,0.0
172.0,172,22.38135,32.0
56.0,56,22.429382,0.0
50.0,50,22.472324,0.0
124.0,124,22.5787,0.0
200.0,200,22.750659,0.0
76.0,76,22.816269,0.0
75.0,75,22.880736,0.0
67.0,67,22.938359,0.0
120.0,120,23.04162,0.0
177.0,177,23.193688,51.0
163.0,163,23.333728,0.0
200.0,200,24.003591,31.0
154.0,154,24.136499,0.0
200.0,200,24.308143,0.0
157.0,157,24.443405,63.0
200.0,200,24.616281,0.0
197.0,197,24.786321,65.0
107.0,107,24.878295,0.0
135.0,135,24.994517,0.0
158.0,158,25.131297,52.0
131.0,131,25.244027,15.0
173.0,173,25.39289,51.0
200.0,200,25.5651,14.0
189.0,189,26.228518,9.0
128.0,128,26.338937,0.0
124.0,124,26.445418,55.0
169.0,169,26.591041,16.0
161.0,161,26.729586,28.0
176.0,176,26.880986,31.0
75.0,75,26.945431,0.0
200.0,200,27.117595,0.0
134.0,134,27.233188,0.0
187.0,187,27.394113,58.0
200.0,200,27.566437,0.0
77.0,77,27.633085,0.0
168.0,168,27.777584,39.0
116.0,116,28.378613,34.0
134.0,134,28.494337,26.0
128.0,128,28.60479,41.0
200.0,200,28.777354,0.0
200.0,200,28.950237,0.0
151.0,151,29.080633,46.0
200.0,200,29.253173,0.0
160.0,160,29.391918,4.0
145.0,145,29.517166,50.0
190.0,190,29.682271,51.0
170.0,170,29.829196,0.0
136.0,136,29.950793,42.0
200.0,200,30.125484,27.0
182.0,182,30.79436,50.0
177.0,177,30.946802,0.0
166.0,166,31.089853,39.0
200.0,200,31.262326,0.0
109.0,109,31.35647,0.0
200.0,200,31.528602,0.0
136.0,136,31.646096,0.0
200.0,200,31.818227,0.0
200.0,200,31.991785,0.0
157.0,157,32.127989,81.0
147.0,147,32.254653,0.0
200.0,200,32.427055,0.0
195.0,195,33.098294,34.0
200.0,200,33.271066,13.0
200.0,200,33.44408,0.0
173.0,173,33.594006,61.0
200.0,200,33.766771,0.0
200.0,200,33.94043,79.0
200.0,200,34.115111,0.0
194.0,194,34.283737,55.0
200.0,200,34.456739,0.0
140.0,140,34.578523,0.0
200.0,200,35.252658,0.0
200.0,200,35.42495,84.0
200.0,200,35.597656,36.0
200.0,200,35.769797,0.0
200.0,200,35.941912,0.0
200.0,200,36.115663,4.0
164.0,164,36.257493,53.0
146.0,146,36.38359,45.0
158.0,158,36.519375,20.0
200.0,200,36.691314,0.0
200.0,200,36.863507,0.0
200.0,200,37.539022,0.0
125.0,125,37.64741,0.0
200.0,200,37.820136,18.0
200.0,200,37.993177,30.0
200.0,200,38.167269,0.0
200.0,200,38.340935,0.0
156.0,156,38.476168,42.0
200.0,200,38.649017,23.0
200.0,200,38.82183,0.0
200.0,200,38.994888,0.0
200.0,200,39.167645,48.0
200.0,200,39.844343,0.0
111.0,111,39.940378,0.0
200.0,200,40.113008,56.0
200.0,200,40.287296,47.0
200.0,200,40.460537,0.0
200.0,200,40.63405,36.0
200.0,200,40.806779,0.0
200.0,200,40.979382,0.0
200.0,200,41.152006,0.0
194.0,194,41.319414,108.0
200.0,200,41.491659,0.0
200.0,200,42.169636,0.0
171.0,171,42.318476,52.0
200.0,200,42.490968,0.0
200.0,200,42.663842,0.0
200.0,200,42.836455,0.0
200.0,200,43.009298,35.0
200.0,200,43.182268,5.0
200.0,200,43.35525,0.0
200.0,200,43.528154,0.0
200.0,200,43.700989,0.0
200.0,200,44.377255,0.0
170.0,170,44.524873,48.0
200.0,200,44.698899,42.0
196.0,196,44.86878,25.0
188.0,188,45.031158,66.0
200.0,200,45.203968,39.0
153.0,153,45.336211,50.0
200.0,200,45.508692,0.0
185.0,185,45.669061,44.0
200.0,200,45.841336,8.0
200.0,200,46.014343,0.0
200.0,200,46.694591,0.0
200.0,200,46.867229,0.0
189.0,189,47.030428,0.0
200.0,200,47.202836,21.0
200.0,200,47.374731,0.0
149.0,149,47.503512,45.0
200.0,200,47.67577,6.0
200.0,200,47.848277,19.0
147.0,147,47.975148,29.0
200.0,200,48.147306,12.0
100.0,100,48.233617,17.0
200.0,200,48.92257,0.0
161.0,161,49.061647,35.0
200.0,200,49.234071,0.0
200.0,200,49.406563,73.0
82.0,82,49.477418,0.0
200.0,200,49.650805,0.0
200.0,200,49.823699,0.0
200.0,200,49.996955,0.0
200.0,200,50.169644,56.0
200.0,200,50.342729,0.0
120.0,120,50.447151,41.0
85.0,85,50.520684,9.0
146.0,146,51.154612,0.0
200.0,200,51.326612,0.0
172.0,172,51.474628,39.0
162.0,162,51.613814,0.0
190.0,190,51.776797,86.0
200.0,200,51.948767,64.0
200.0,200,52.120751,0.0
200.0,200,52.293237,0.0
200.0,200,52.467349,0.0
191.0,191,52.63438,42.0
154.0,154,52.767366,39.0
159.0,159,52.904047,46.0
200.0,200,53.588717,0.0
175.0,175,53.740113,85.0
147.0,147,53.866843,43.0
200.0,200,54.039128,38.0
132.0,132,54.153098,0.0
181.0,181,54.309207,35.0
193.0,193,54.476419,22.0
200.0,200,54.651107,43.0
200.0,200,54.826556,0.0
200.0,200,54.999939,37.0
181.0,181,55.156271,40.0
200.0,200,55.841463,4.0
160.0,160,55.979541,49.0
200.0,200,56.151463,0.0
163.0,163,56.292382,40.0
200.0,200,56.464823,0.0
172.0,172,56.614993,63.0
200.0,200,56.787967,32.0
200.0,200,56.960712,0.0
200.0,200,57.133228,82.0
200.0,200,57.305434,24.0
200.0,200,57.986768,0.0
200.0,200,58.159545,0.0
200.0,200,58.331905,0.0
200.0,200,58.50498,29.0
200.0,200,58.679693,77.0
200.0,200,58.853226,0.0
200.0,200,59.025768,0.0
200.0,200,59.198221,0.0
174.0,174,59.348354,0.0
200.0,200,59.520742,0.0
200.0,200,59.694469,0.0
200.0,200,60.376551,0.0
200.0,200,60.549746,0.0
200.0,200,60.724646,0.0
200.0,200,60.897793,62.0
200.0,200,61.083999,91.0
200.0,200,61.272361,69.0
200.0,200,61.458216,14.0
200.0,200,61.643763,0.0
200.0,200,61.817103,37.0
178.0,178,61.976292,0.0
200.0,200,62.673214,0.0
200.0,200,62.855085,0.0
200.0,200,63.028265,0.0
171.0,171,63.175874,36.0
200.0,200,63.348456,41.0
200.0,200,63.521133,0.0
200.0,200,63.693902,35.0
93.0,93,63.774405,0.0
200.0,200,63.947522,0.0
200.0,200,64.120251,64.0
200.0,200,64.293018,0.0
140.0,140,64.929257,32.0
200.0,200,65.102593,0.0
200.0,200,65.275689,0.0
200.0,200,65.448102,98.0
200.0,200,65.621336,15.0
200.0,200,65.793998,28.0
199.0,199,65.965796,57.0
200.0,200,66.137603,0.0
200.0,200,66.310045,37.0
200.0,200,66.482373,0.0
200.0,200,66.655015,34.0
198.0,198,67.344035,48.0
200.0,200,67.515746,0.0
200.0,200,67.687827,0.0
200.0,200,67.859846,33.0
200.0,200,68.031615,0.0
200.0,200,68.203559,0.0
200.0,200,68.375563,0.0
200.0,200,68.54728,45.0
200.0,200,68.719989,0.0
200.0,200,68.893871,0.0
200.0,200,69.578896,0.0
200.0,200,69.752146,39.0
200.0,200,69.928339,0.0
200.0,200,70.108828,0.0
200.0,200,70.289735,0.0
196.0,196,70.462748,87.0
200.0,200,70.637987,0.0
200.0,200,70.813521,0.0
200.0,200,70.988713,0.0
200.0,200,71.162356,0.0
200.0,200,71.847743,0.0
200.0,200,72.020131,0.0
200.0,200,72.192267,21.0
200.0,200,72.364784,0.0
107.0,107,72.456968,0.0
200.0,200,72.628979,0.0
127.0,127,72.73853,0.0
200.0,200,72.911722,0.0
200.0,200,73.085148,0.0
200.0,200,73.258301,0.0
200.0,200,73.43258,0.0
200.0,200,74.121314,0.0
200.0,200,74.294506,0.0
200.0,200,74.467069,0.0
195.0,195,74.636586,41.0
200.0,200,74.810052,16.0
200.0,200,74.985209,87.0
200.0,200,75.158813,0.0
200.0,200,75.331241,0.0
200.0,200,75.504163,0.0
200.0,200,75.677335,0.0
200.0,200,75.849767,0.0
200.0,200,76.534793,0.0
