time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward
9737,662528,68,647,0.052967492025345564,2584,-0.0009857192635536194,0.45490503311157227,0.08676992,0.00021692480000000001,-0.005190330586628988,0.0012640014,0.10791015625,-1.418325550854206,7847.21,-18.24,,,,
9747,663552,68,648,0.034763028495945036,2588,-0.001481853425502777,0.529656171798706,0.08674944000000001,0.0002168736,-0.0046439156867563725,0.002632611,0.123046875,-1.443383865058422,7847.21,-18.24,,,,
9757,664576,68,649,0.047593803610652685,2592,-0.003252144902944565,0.4039892554283142,0.08672896000000001,0.0002168224,-0.004030853873700835,0.0017303212,0.13037109375,-1.395937405526638,7847.21,-18.24,,,,
9767,665600,68,650,0.026108473539352417,2596,-0.017593741416931152,0.5117790699005127,0.08670848,0.0002167712,-0.005493144359206781,0.0022188313,0.093505859375,-1.38348638266325,7847.21,-18.24,,,,
9778,666624,68,651,0.03788796067237854,2600,0.007021689787507057,0.47789400815963745,0.086688,0.00021672,-0.004443135898327455,0.0019894615,0.09033203125,-1.4279359430074692,7847.21,-18.24,,,,
9788,667648,68,652,0.036478000693023205,2604,-0.003919104114174843,0.40305960178375244,0.08666752,0.0002166688,-0.00473883310041856,0.0023252564,0.113037109375,-1.3704082444310188,7847.21,-18.24,,,,
9799,668672,68,653,0.05052531720139086,2608,-0.0010000504553318024,0.3767220973968506,0.08664704000000001,0.0002166176,-0.0035771124239545316,0.0023025125,0.114990234375,-1.3735582828521729,7904.2,-18.23,,,,
9809,669696,68,654,0.04227344389073551,2612,-0.013655422255396843,0.3545966148376465,0.08662656,0.0002165664,-0.007161673158407211,0.002115756,0.118896484375,-1.4155375361442566,7904.2,-18.23,,,,
9820,670720,68,655,0.029135566437616944,2616,-0.011487104929983616,0.5521041750907898,0.08660608,0.00021651519999999998,-0.003786382032558322,0.0017342162,0.097412109375,-1.4071399718523026,7951.35,-18.26,,,,
9830,671744,68,656,0.05050081270746887,2620,-0.002620019018650055,0.3353691101074219,0.0865856,0.000216464,-0.0033624675415921956,0.0021412037,0.08203125,-1.3608896806836128,7951.35,-18.26,,,,
9840,672768,68,657,0.038088024710305035,2624,0.0016874074935913086,0.5507571697235107,0.08656512000000001,0.00021641280000000003,-0.0029945228598080575,0.0020847549,0.09326171875,-1.3556419014930725,7951.35,-18.26,,,,
9850,673792,68,658,0.069543547462672,2628,0.01061989739537239,0.37426894903182983,0.08654464,0.0002163616,-0.004702094825915992,0.0018171153,0.097900390625,-1.357907697558403,8004.96,-18.26,,,,
9861,674816,68,659,0.06629965221509337,2632,0.011992692947387695,0.35995399951934814,0.08652416000000002,0.00021631040000000002,-0.004351715120719746,0.0016914986,0.0986328125,-1.3686776459217072,8004.96,-18.26,,,,
