time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_object_reward,eval/mean_score_reward,eval/mean_score_ep_length
447,1866,1910784,4267,7460,0.000154512,0.06180479999999999,0.002214649,0.054152325727045536,0.164794921875,-1.4042515829205513,0.8712484240531921,-0.007212972326669842,-0.010286351665854454,8094.47,17.47,,,,
447,1867,1911808,4268,7464,0.0001544608,0.061784320000000004,0.0013514291,0.05223796726204455,0.114990234375,-1.3983128145337105,0.8672465085983276,-0.00578131020301953,-0.0018091704696416855,8094.47,17.47,,,,
447,1868,1912832,4269,7468,0.00015440959999999998,0.06176383999999999,0.001934659,0.04155834577977657,0.169189453125,-1.4218061864376068,0.8522639274597168,-0.004903308203211054,-0.0059480126947164536,8086.34,17.51,,,,
448,1869,1913856,4271,7472,0.0001543584,0.061743360000000004,0.0023429117,0.03499326389282942,0.164794921875,-1.3880588859319687,0.8554770946502686,-0.006048260722309351,-0.00994377862662077,8074.78,17.54,,,,
448,1870,1914880,4272,7476,0.0001543072,0.06172288000000001,0.0015850927,0.026046929182484746,0.1806640625,-1.421528846025467,0.8776702880859375,-0.005333224777132273,-0.014570454135537148,8074.78,17.54,,,,
448,1871,1915904,4273,7480,0.000154256,0.061702400000000004,0.0017409876,0.028210009797476232,0.13427734375,-1.394313506782055,0.8653298616409302,-0.006463668367359787,-0.016354374587535858,8074.78,17.54,,,,
448,1872,1916928,4274,7484,0.00015420480000000002,0.06168192,0.0018603876,0.022334791254252195,0.1494140625,-1.4109551161527634,0.8927982449531555,-0.007948956976179034,-0.018546853214502335,8119.74,17.45,,,,
448,1873,1917952,4276,7488,0.00015415360000000001,0.061661440000000005,0.0014533193,0.017450105457101017,0.119384765625,-1.4391813203692436,0.9007555842399597,-0.005765249137766659,-0.016508309170603752,8119.74,17.45,,,,
448,1874,1918976,4277,7492,0.0001541024,0.06164096,0.0015676685,0.013364200771320611,0.170654296875,-1.4099410101771355,0.9516543745994568,-0.008442539226962253,-0.023943375796079636,8132.75,17.4,,,,
448,1875,1920000,4278,7496,0.0001540512,0.061620480000000005,0.0014855396,0.010465832892805338,0.157470703125,-1.3986749202013016,0.9655926823616028,-0.005777234444394708,-0.023890487849712372,8182.78,17.27,,,,
448,1876,1921024,4279,7500,0.000154,0.0616,0.0015985359,0.008460954879410565,0.138427734375,-1.429082989692688,0.965183675289154,-0.0074510686681605875,-0.026352211833000183,8182.78,17.27,,,,
448,1877,1922048,4280,7504,0.0001539488,0.06157952,0.0019381732,0.009587543812813237,0.149169921875,-1.4262304976582527,0.926464319229126,-0.007485657639335841,-0.026345841586589813,8168.66,17.15,,,,
449,1878,1923072,4281,7508,0.0001538976,0.06155904,0.0022112916,0.011139825743157417,0.13720703125,-1.4216909632086754,0.9698567986488342,-0.00707056256942451,-0.02106388285756111,8168.66,17.15,,,,
449,1879,1924096,4282,7512,0.0001538464,0.06153856,0.0017554059,0.012473883747588843,0.112548828125,-1.4191238731145859,0.954222559928894,-0.007455361192114651,-0.022810690104961395,8168.66,17.15,,,,
,,1925000,,7516,0.00015379520000000001,0.06151808000000001,0.0032169153,0.03242548124399036,0.171630859375,-1.4175847172737122,0.7506599426269531,-0.005844524712301791,-0.009948085993528366,,,7594.8,-92.4600002,19.8,7594.8
446,1880,1925120,4314,,,,,,,,,,,8168.66,17.15,,,,
446,1881,1926144,4315,7520,0.00015374399999999998,0.0614976,0.0019751568,0.011892721871845424,0.154541015625,-1.4587542191147804,0.9081902503967285,-0.005972372950054705,-0.018347732722759247,8168.66,17.15,,,,
446,1882,1927168,4316,7524,0.00015369280000000003,0.06147712000000001,0.0013994703,0.007984137191670015,0.1240234375,-1.4376670643687248,0.9329556822776794,-0.005550837377086282,-0.02232234925031662,8168.66,17.15,,,,
446,1883,1928192,4317,7528,0.0001536416,0.06145664,0.0016249395,0.00782594908378087,0.1171875,-1.4050029441714287,0.9502308964729309,-0.006518549722386524,-0.02054503746330738,8183.54,17.16,,,,
446,1884,1929216,4318,7532,0.00015359040000000003,0.06143616000000001,0.0021411516,0.006329992931568995,0.157958984375,-1.4325465708971024,0.9727007150650024,-0.005760365107562393,-0.025809038430452347,8253.37,17.02,,,,
446,1885,1930240,4319,7536,0.0001535392,0.06141568,0.0016699592,0.02395389712182805,0.1640625,-1.4299738854169846,0.9064807891845703,-0.00563556794077158,-0.022430848330259323,8245.9,17.02,,,,
446,1886,1931264,4320,7540,0.00015348800000000002,0.06139520000000001,0.0012718746,0.012720336846541613,0.0888671875,-1.3741995096206665,0.9505908489227295,-0.005555372394155711,-0.018630072474479675,8245.9,17.02,,,,
447,1887,1932288,4321,7544,0.0001534368,0.061374719999999994,0.0021376994,0.017777600325644016,0.122314453125,-1.3941670358181,0.8498194217681885,-0.0052594736916944385,-0.009354143403470516,8244.56,17.02,,,,
447,1888,1933312,4322,7548,0.0001533856,0.061354240000000004,0.0016615603,0.015482718881685287,0.1220703125,-1.4020222872495651,0.9405375719070435,-0.006372532108798623,-0.020354878157377243,8244.56,17.02,,,,
447,1889,1934336,4323,7552,0.00015333439999999998,0.061333759999999994,0.0015105382,0.012635807797778398,0.179931640625,-1.3941542953252792,0.9080355167388916,-0.006904690962983295,-0.015577094629406929,8222.93,17.03,,,,
447,1890,1935360,4324,7556,0.0001532832,0.061313280000000005,0.0022626997,0.024846242042258382,0.14013671875,-1.3842842429876328,0.7925047874450684,-0.005083620984805748,-0.008719592355191708,8222.93,17.03,,,,
447,1891,1936384,4325,7560,0.00015323199999999997,0.061292799999999995,0.0014703767,0.007994543091626838,0.141845703125,-1.3884229585528374,0.9582209587097168,-0.008434001007117331,-0.028314631432294846,8222.93,17.03,,,,
447,1892,1937408,4326,7564,0.00015318080000000002,0.061272320000000005,0.0016910748,0.011734109313692898,0.191162109375,-1.4000991135835648,0.9171478152275085,-0.006611151562537998,-0.022963926196098328,8222.93,17.03,,,,
447,1893,1938432,4327,7568,0.00015312960000000002,0.06125184,0.0018473278,0.00870640084031038,0.11865234375,-1.3975334167480469,0.8977410793304443,-0.005270928086247295,-0.021053561940789223,8226.82,17.02,,,,
448,1894,1939456,4328,7572,0.00015307840000000001,0.061231360000000006,0.0022370282,0.007614873175043613,0.199951171875,-1.387451857328415,0.9398145079612732,-0.0063881451496854424,-0.0207989439368248,8226.82,17.02,,,,
448,1895,1940480,4329,7576,0.0001530272,0.06121088,0.0021455719,0.02754984813509509,0.14697265625,-1.4024882763624191,0.7955122590065002,-0.003785820968914777,-0.012851512059569359,8226.82,17.02,,,,
448,1896,1941504,4330,7580,0.000152976,0.061190400000000006,0.001905146,0.007674258638871834,0.161376953125,-1.4206634536385536,0.8984537720680237,-0.00717341317795217,-0.022761434316635132,8226.82,17.02,,,,
448,1897,1942528,4331,7584,0.0001529248,0.06116992,0.0017521244,0.005533335322979838,0.1806640625,-1.42439004778862,0.9457972049713135,-0.006733250338584185,-0.027989303693175316,8204.5,17.05,,,,
448,1898,1943552,4332,7588,0.0001528736,0.06114944,0.0012847207,0.005630418949294835,0.09423828125,-1.4160438999533653,0.9608210921287537,-0.005283636273816228,-0.02419569343328476,8186.07,17.04,,,,
448,1899,1944576,4333,7592,0.0001528224,0.06112896,0.0016247642,0.006952685915166512,0.132568359375,-1.43120027333498,0.9417221546173096,-0.006332489079795778,-0.023056255653500557,8129.34,17.21,,,,
448,1900,1945600,4334,7596,0.0001527712,0.06110848,0.0013263719,0.008623093308415264,0.1201171875,-1.447194017469883,0.952989399433136,-0.006055281322915107,-0.024568313732743263,8119.87,17.26,,,,
448,1901,1946624,4335,7600,0.00015272,0.061088,0.0016967392,0.022747060924302787,0.14501953125,-1.4162733256816864,0.8969365954399109,-0.006750404922058806,-0.0223993007093668,8119.87,17.26,,,,
449,1902,1947648,4336,7604,0.00015266879999999998,0.06106752,0.0016992649,0.013721489754971117,0.129638671875,-1.4381393119692802,0.9051399230957031,-0.006517831818200648,-0.020561296492815018,8119.87,17.26,,,,
449,1903,1948672,4338,7608,0.00015261760000000003,0.06104704000000001,0.0012844612,0.010736521508079022,0.116455078125,-1.450554482638836,0.9230543375015259,-0.006198657676577568,-0.024433959275484085,8142.52,17.24,,,,
449,1904,1949696,4339,7612,0.0001525664,0.06102656,0.0027040963,0.008108784182695672,0.127197265625,-1.4179411679506302,0.9471195936203003,-0.0067085500922985375,-0.023248696699738503,8142.52,17.24,,,,
,,1950000,,7616,0.00015251520000000003,0.06100608000000001,0.0019932515,0.01356944558210671,0.126953125,-1.4238560274243355,0.9406574368476868,-0.007829186040908098,-0.01989184506237507,,,8264.2,-220.1933332,16.0,8264.2
446,1905,1950720,4373,,,,,,,,,,,8142.52,17.24,,,,
446,1906,1951744,4374,7620,0.000152464,0.0609856,0.0018591934,0.009570914698997512,0.17041015625,-1.4421482160687447,0.9222884178161621,-0.007487449620384723,-0.023266363888978958,8137.23,17.27,,,,
446,1907,1952768,4375,7624,0.00015241280000000002,0.06096512000000001,0.0013334488,0.00834350727382116,0.109375,-1.4292779564857483,0.9423264265060425,-0.006389138987287879,-0.021033678203821182,8137.23,17.27,,,,
446,1908,1953792,4376,7628,0.0001523616,0.060944639999999994,0.0011955369,0.016936419706325978,0.098876953125,-1.4527018144726753,0.8585690259933472,-0.0047155002248473465,-0.01727525144815445,8137.23,17.27,,,,
446,1909,1954816,4377,7632,0.0001523104,0.060924160000000005,0.001271409,0.005465794587507844,0.15771484375,-1.4498395174741745,0.9361155033111572,-0.005939397145994008,-0.025451574474573135,8137.23,17.27,,,,
446,1910,1955840,4378,7636,0.00015225919999999998,0.060903679999999995,0.0013200027,0.012522366072516888,0.123291015625,-1.439468927681446,0.9079166650772095,-0.006223507254617289,-0.020784959197044373,8136.57,17.27,,,,
446,1911,1956864,4379,7640,0.000152208,0.060883200000000005,0.0021894514,0.01809158659307286,0.1484375,-1.4453658759593964,0.8871957063674927,-0.005112137820106,-0.017016761004924774,8136.57,17.27,,,,
446,1912,1957888,4380,7644,0.00015215679999999997,0.060862719999999995,0.0013486734,0.016629538731649518,0.0927734375,-1.4477914422750473,0.9045721888542175,-0.006359453778713942,-0.01972557231783867,8137.08,17.26,,,,
447,1913,1958912,4381,7648,0.00015210560000000002,0.060842240000000006,0.001244812,0.009701827773824334,0.166748046875,-1.4319010227918625,0.9342870712280273,-0.006449393549701199,-0.021589070558547974,8137.08,17.26,,,,
447,1914,1959936,4382,7652,0.00015205440000000002,0.06082176,0.0012466668,0.015451662708073854,0.093505859375,-1.4529861211776733,0.925162136554718,-0.00557780044618994,-0.022977301850914955,8137.08,17.26,,,,
447,1915,1960960,4383,7656,0.00015200320000000002,0.060801280000000006,0.001656848,0.013734786189161241,0.16064453125,-1.4354814812541008,0.9023373126983643,-0.006921933498233557,-0.017219169065356255,8134.6,17.27,,,,
