time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length,eval/mean_object_reward
4493312,438,10254,4388,5.9505866e-05,-0.017051860690116882,0.9742193818092346,0.003191729323589243,-0.0014322525239549577,0.13720703125,-1.5535083264112473,2.538560000000001e-05,17548,0.010154240000000004,7576.87,19.15,,,,
4494336,438,10255,4389,5.2415475e-05,-0.016267551109194756,0.948457658290863,0.004848160286201164,-0.0013002235791645944,0.139892578125,-1.5333963856101036,2.5334400000000006e-05,17552,0.010133760000000004,7575.75,19.15,,,,
4495360,438,10256,4390,4.1170395e-05,-0.01547742635011673,0.9655380845069885,0.005009111715480685,-0.0011719394969986752,0.114013671875,-1.5267159268260002,2.5283200000000006e-05,17556,0.010113280000000002,7575.75,19.15,,,,
4496384,438,10258,4391,4.885363e-05,-0.014062223955988884,0.941315770149231,0.006060579064069316,-0.0010103987588081509,0.15478515625,-1.5590310469269753,2.5232000000000005e-05,17560,0.010092800000000002,7575.75,19.15,,,,
4497408,438,10259,4392,6.5550965e-05,-0.015043292194604874,0.9557193517684937,0.007023005047813058,-0.0013503457012120634,0.158935546875,-1.5423527732491493,2.5180800000000005e-05,17564,0.010072320000000003,7575.75,19.15,,,,
4498432,438,10260,4393,4.9326627e-05,-0.01560955960303545,0.9592611789703369,0.005261396087007597,-0.0012756487703882158,0.1259765625,-1.5397427827119827,2.51296e-05,17568,0.010051840000000001,7575.75,19.15,,,,
4499456,438,10261,4394,4.6562927e-05,-0.015420323237776756,0.9708249568939209,0.003922288786270656,-0.0012752058100886643,0.154541015625,-1.5400726571679115,2.50784e-05,17572,0.010031360000000001,7575.75,19.15,,,,
4500000,,,,5.709409e-05,-0.013875453732907772,0.9031967520713806,0.008394291624426842,-0.0011617410345934331,0.15673828125,-1.528003804385662,2.50272e-05,17576,0.01001088,,,7307.4,20.4,7307.4,-1747.384
4500480,437,10292,4395,,,,,,,,,,,7598.47,19.14,,,,
4501504,437,10293,4396,5.0746778e-05,-0.015160143375396729,0.9713539481163025,0.00529307551914826,-0.0011163342278450727,0.133056640625,-1.5400208681821823,2.4976e-05,17580,0.0099904,7598.47,19.14,,,,
4502528,437,10294,4397,4.0557876e-05,-0.014365488663315773,0.9617685079574585,0.0061950511881150305,-0.0013322963495738804,0.121826171875,-1.537997528910637,2.49248e-05,17584,0.00996992,7598.47,19.14,,,,
